eng,pa,translation_text
This includes:Lactating motherPregnant womenChild 0-6 MonthsChild 6 Months to 3 YearsChild  3 Years to 6 YearsAdolescent Girls (11 Years-19 Years),ਇਸ ਵਿੱਚ ਸਾਮਲ ਹਨਃਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀ ਮਾਂਗਰਭਵਤੀ ਰਤਾਂਬੱਚਾ 0-6 ਮਹੀਨੇਬੱਚਾ 6 ਮਹੀਨੇ ਤੋਂ 3 ਸਾਲਬਾਲ 3 ਸਾਲ ਤੋਂ 6 ਸਾਲਕਿਸੋਰ ਲੜਕੀਆਂ (11 ਸਾਲ-19 ਸਾਲ),engengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengeng
Shibpur I C D S Project,ਸਿਬਪੁਰ ਆਈ ਸੀ ਡੀ ਐਸ ਪ੍ਰੋਜੈਕਟ, The Sipapur ICDS Project is a project of the Sipapur ICDS project.
"In the recent one to three months, no Aanganwadi Worker has visited the beneficiary's home","ਪਿਛਲੇ ਇੱਕ ਤੋਂ ਤਿੰਨ ਮਹੀਨਿਆਂ ਵਿੱਚ, ਕੋਈ ਵੀ ਆਂਗਣਵਾੜੀ ਕਰਮਚਾਰੀ ਲਾਭਪਾਤਰੀ ਦੇ ਘਰ ਨਹੀਂ ਗਿਆ ਹੈ",engonpawadi employee hasn't been to the home of a beneficiary in the last one to three months.
Please enter Weight greater than 0.49 and less than 40.01,ਕਿਰਪਾ ਕਰਕੇ 0.49 ਤੋਂ ਵੱਧ ਅਤੇ 40.01 ਤੋਂ ਘੱਟ ਵਜਨ ਦਰਜ ਕਰੋ,eng please enter weights greater than 0.49 and less than 40.01
You can register with your mobile number directly through the website https://poshantracker.,You can register with your mobile number directly through the website https://poshantracker., You can register with your mobile number directly through the website https://poshantracker.
in or by downloading the Poshan Tracker App.,in or by downloading the Poshan Tracker App.,"eng, or by downloading the Poshan Tracker App."
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,ਜੋ ਪੋਸਣ ਟ੍ਰੈਕਰ ਏਪੀਪੀ ਉੱਤੇ ਰਜਿਸਟਰ ਕਰਦੇ ਸਮੇਂ ਆਂਗਣਵਾੜੀ ਵਰਕਰ ਦੁਆਰਾ ਨਿਰਧਾਰਤ ਕੀਤੀ ਗਈ ਹੈ।,engonwadi worker when registering on the Nutrition Tracker APP.
"Specifications of Smart phone and Technical Compatibility Testing (02 February, 2021)","ਸਮਾਰਟ ਫੋਨ ਅਤੇ ਤਕਨੀਕੀ ਅਨੁਕੂਲਤਾ ਟੈਸਟਿੰਗ ਦੀਆਂ ਵਿਸੇਸਤਾਵਾਂ (02 ਫਰਵਰੀ, 2021)",eng smartphone and technical compatibility testing (02 February 2021)
Request for child's height and weight measurement,ਬੱਚੇ ਦੀ ਲੰਬਾਈ ਅਤੇ ਭਾਰ ਮਾਪਣ ਲਈ ਬੇਨਤੀ,engekerjaanjalukan untuk mengukur panjang dan berat bayipa
Children (6 months - 3 years),ਬੱਚੇ (6 ਮਹੀਨੇ - 3 ਸਾਲ),enganak (6 bulan - 3 tahun)
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","ਜਦੋਂ ਤੁਸੀਂ ਸਾਡੀਆਂ ਸਾਈਟਾਂ, ਐਪ ਅਤੇ ਪਲੇਟਫਾਰਮ ਤਕਨਾਲੋਜੀ ਸਮੇਤ ਸਾਡੀਆਂ ਸੇਵਾਵਾਂ 'ਤੇ ਜਾਂਦੇ ਹੋ ਜਾਂ ਸਾਡੀਆਂ ਸੇਵਾਵਾਂ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹੋ ਤਾਂ ਅਸੀਂ ਵਰਤੇ ਗਏ ਅੰਕੜਿਆਂ ਨੂੰ ਲੌਗ ਕਰਦੇ ਹਾਂ।"," When you visit our services, including our sites, apps and platform technology, or use our services, we log the data used."
"Result couldn't be fetch, please enter valid data","ਨਤੀਜਾ ਪ੍ਰਾਪਤ ਨਹੀਂ ਕੀਤਾ ਜਾ ਸਕਿਆ, ਕਿਰਪਾ ਕਰਕੇ ਉਚਿਤ ਅੰਕੜੇ ਦਰਜ ਕਰੋ","eng.co.id - If result could not be obtained, please enter the appropriate figures"
Central Golaghat I. C. D. S. Project,ਕੇਂਦਰੀ ਗੋਲਾਘਾਟ ਆਈ. ਸੀ. ਡੀ. ਐਸ. ਪ੍ਰੋਜੈਕਟ,eng Central Shoot ICDS Projectpa
