eng,te
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,ఒక AWC నుంచి మరో AWCకి వారి ఆధార్ నెంబరు ఆధారంగా లబ్ధిదారుడిని మైగ్రేట్ చేయడం కొరకు 'మైగ్రేట్ బెనిఫిషియరీ' ఆప్షన్ ని AWW ఉపయోగించుకోవచ్చు.
Narot Jaimal Singh,నరోట్ జైమల్ సింగ్
Balasore Sadar I,బాలాసోర్ సదర్ I
General Awareness for Pregnancy,గర్భధారణ కొరకు సాధారణ అవగాహన
Fatehpur - 84,ఫతేపూర్ - 84
A beneficiary is eligible for HCM for at least 21 days in a month.,లబ్ధిదారుడు నెలలో కనీసం 21 రోజులపాటు HCMకు అర్హత కలిగి ఉంటాడు.
Alipurduar - II Addl.,అలీపుర్దువార్ - II అడిష్నల్.
ABHA (Health ID) and its Benefits,ABHA (హెల్త్ ఐడి) మరియు దాని యొక్క ప్రయోజనాలు
Jorebunglow Sukiapokhri Adl,జోరెబంగ్లో సుకియాపోఖ్రి ఎడిఎల్
"We'ar sorry, the page you requested could not be found.","మమ్మల్ని క్షమించండి, మీరు అభ్యర్థించిన పేజీ కనుగొనబడలేదు."
Rani Ki Sarai,రాణి కి సరాయ్
Project Ii Saibaba Colony,ప్రాజెక్ట్ Ii సాయిబాబా కాలనీ
Who is a beneficiary?,లబ్ధిదారుడు ఎవరు?
Dadra & Nagar Haveli - Daman & Diu,దాద్రా మరియు నాగర్ హవలీ - డామన్ మరియు డయు
Download Mobile App from Play Store,ప్లే స్టోర్ నుంచి మొబైల్ యాప్ డౌన్ లోడ్ చేసుకోండి
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws.","పోషణ్ ట్రాకర్ ప్లాట్ ఫారమ్ లో మీ గోప్యత మరియు వ్యక్తిగత సమాచారాన్ని నష్టం, దుర్వినియోగం, అనధీకృత ప్రాప్యత, వెల్లడించడం, నాశనం చేయడం మరియు అనువర్తించే చట్టాలకు అనుగుణంగా సమాచారాన్ని మార్చడం నుంచి సంరక్షించడం కొరకు సహేతుకమైన భద్రతా చర్యలు మరియు రక్షణలు ఉన్నాయి."
"Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server.","ఇంకా, మీరు సిస్టమ్ లో మీ ఖాతాను లేదా దానికి సంబంధించిన ఏదైనా సమాచారాన్ని మార్చినప్పుడు లేదా యాక్సెస్ చేసుకున్నప్పుడు, మేము ఒక సురక్షిత సర్వర్ యొక్క ఉపయోగాన్ని అందిస్తాము."
"It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.","మీరు సిస్టమ్ ని యాక్సెస్ చేసుకునేంత వరకు మరియు/లేదా (ప్రత్యక్షంగా లేదా పరోక్షంగా) ఉపయోగించినంత కాలం, మీ వ్యక్తిగత సమాచారంతో సహా మరియు పరిమితం కాకుండా ఉండే మీ డేటా యొక్క సమగ్రత మరియు భద్రతను సంరక్షించడం కొరకు, మీరు అన్నివేళలా తగిన భౌతిక, నిర్వహణ మరియు సాంకేతిక సంరక్షణలను తీసుకునే బాధ్యతను కలిగి ఉంటారని మరింత స్పష్టం చేయబడింది."
General Awareness on the Delivery of the child,బిడ్డ డెలివరీపై సాధారణ అవగాహన
General Awareness on Anaemia,రక్తహీనతపై సాధారణ అవగాహన
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.","మా పనితీరును విశ్లేషించడం, మా చట్టపరమైన బాధ్యతలను తీర్చడం, మా శ్రామిక శక్తిని అభివృద్ధి చేయడం మరియు పరిశోధన చేయడం వంటి మా సేవలను ఆపరేట్ చేయడానికి కూడా మేము డేటాను ఉపయోగిస్తాము."
