eng,pa
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","ਪੋਸਣ ਟਰੈਕਰ ਦੇ ਤਹਿਤ ਤਕਨਾਲੋਜੀ ਦਾ ਬੱਚਿਆਂ ਵਿੱਚ ਲਗਾਤਾਰ ਅਵਿਕਸਿਤਤਾ, ਦੁਰਬਲਤਾ, ਘੱਟ ਵਜਨ ਦੀ ਪਛਾਣ ਅਤੇ ਪੋਸਣ ਸੇਵਾ ਪ੍ਰਦਾਨ ਕਰਨ ਦੇ ਅਖੀਰ ਤੱਕ ਟਰੈਕਿੰਗ ਲਈ ਲਾਭ ਉਠਾਇਆ ਜਾ ਰਿਹਾ ਹੈ।"
Dadra & Nagar Haveli,ਦਾਦਰਾ ਅਤੇ ਨਗਰ ਹਵੇਲੀ
Habibpur Addl.,ਹਬੀਬਪੁਰ ਏਡੀਡੀਐਲ.
2,2
Icds Tirur Addl,ਆਈਸੀਡੀਐਸ ਤੀਰੂਰ ਏਡੀਡੀਐਲ
Raipur-  Karchulian-2,ਰਾਏਪੁਰ- ਕਰਚੂਲੀਆਂ-2
The System also takes feedback about system performance and experience.,"ਸਿਸਟਮ, ਸਿਸਟਮ ਦੀ ਕਾਰਗੁਜਾਰੀ ਅਤੇ ਅਨੁਭਵ ਬਾਰੇ ਆਡਿਟ ਵੀ ਕਰਦਾ ਹੈ।"
"Information on name, mobile number, date of registration and health status may be used for these purposes","ਨਾਮ, ਮੋਬਾਈਲ ਨੰਬਰ, ਰਜਿਸਟ੍ਰੇਸਨ ਦੀ ਮਿਤੀ ਅਤੇ ਸਿਹਤ ਸਥਿਤੀ ਬਾਰੇ ਜਾਣਕਾਰੀ ਇਹਨਾਂ ਉਦੇਸਾਂ ਲਈ ਵਰਤੀ ਜਾ ਸਕਦੀ ਹੈ"
Medchal - Malkajigiri,ਮੇਦਚਲ ਮਲਕਾਜਗਿਰੀ
Poshan Tracker App,ਪੋਸਣ ਟਰੈਕਰ ਐਪ
Aspirational Districts Program,ਅਭਿਲਾਸੀ ਜਿਲ੍ਹੇ ਪ੍ਰੋਗਰਾਮ
Kultali Addl.ICDS Project,ਕੁਲਟਾਲੀ ਏਡੀਡੀਐਲ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account.",ਅਸੀਂ ਉਹ ਸਮੱਗਰੀ ਅਤੇ ਹੋਰ ਜਾਣਕਾਰੀ ਇਕੱਠੀ ਕਰਦੇ ਹਾਂ ਜੋ ਤੁਸੀਂ ਸਾਡੀਆਂ ਸੇਵਾਵਾਂ ਦੀ ਵਰਤੋਂ ਕਰਨ ਲਈ ਪ੍ਰਦਾਨ ਕਰਦੇ ਹੋ ਇਸ ਵਿੱਚ ਤੁਹਾਡੇ ਦੁਆਰਾ ਖਾਤੇ ਲਈ ਸਾਈਨ ਅੱਪ ਕਰਨਾ ਵੀ ਸਾਮਲ ਹੈ।
"This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) AddressIf you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature.","ਇਸ ਵਿੱਚ ਸਾਮਲ ਹੋ ਸਕਦੇ ਹਨ- (i) ਨਾਮ (ii) ਮੋਬਾਈਲ ਨੰਬਰ (iii) ਜਨਮ ਮਿਤੀ (iv) ਲਿੰਗ (v) ਬੱਚੇ ਦਾ ਨਾਮ (vi) ਆਧਾਰ ਨੰਬਰ (vii) ਪਤਾਜੇਕਰ ਤੁਸੀਂ ਕੋਈ ਉਤਪਾਦ ਜਾਂ ਵਿਸੇਸਤਾ ਪ੍ਰਦਾਨ ਕਰਨ ਲਈ ਲੋੜੀਂਦੇ ਅੰਕੜੇ ਪ੍ਰਦਾਨਾ ਕਰਨਾ ਚੁਣਦੇ ਹੋ, ਤਾਂ ਤੁਸੀਂ ਉਸ ਉਤਪਾਦ ਜਾਂ ਵਿਸੇਸਤਾ ਦੀ ਵਰਤੋਂ ਨਹੀਂ ਕਰ ਸਕਦੇ ਹੋ।"
"You may, however, choose not to share personal data where providing the data is optional.","ਹਾਲਾਂਕਿ, ਜਿੱਥੇ ਅੰਕੜੇ ਪ੍ਰਦਾਨ ਕਰਨਾ ਵਿਕਲਪਿਕ ਹੈ ਤੁਸੀਂ ਨਿੱਜੀ ਅੰਕੜਿਆਂ ਨੂੰ ਸਾਂਝਾ ਨਾ ਕਰਨ ਦੀ ਚੋਣ ਕਰ ਸਕਦੇ ਹੋ।"
Tracking of services to the end beneficiary at a click of a button.,ਇੱਕ ਬਟਨ ਦੇ ਕਲਿੱਕ ਨਾਲ ਅੰਤਮ ਲਾਭਪਾਤਰੀ ਨੂੰ ਸੇਵਾਵਾਂ ਦੀ ਟ੍ਰੈਕਿੰਗ।
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","ਰਾਸਨ ਘਰ ਲਿਜਾਉ (THR) ਅਤੇ ਗਰਮ ਪਕਾਇਆ ਭੋਜਨ (HCM), ਬੱਚਿਆਂ ਅਤੇ ਗਰਭਵਤੀ ਔਰਤਾਂ ਲਈ ਟੀਕਾਕਰਨ ਵਰਗੀਆਂ ਸੇਵਾਵਾਂ"
Enter Weight in kilogram,ਕਿਲੋਗ੍ਰਾਮ ਵਿੱਚ ਵਜਨ ਦਰਜ ਕਰੋ
Garbeta - I Adl.,ਗਰਬੇਟਾ - I ਏਡੀਐਲ.
Lakhimpur Kheri City,ਲਖੀਮਪੁਰ ਖੇੜੀ ਸਹਿਰ
"New Poshan Tracker App (13 January, 2021)","ਨਵੀਂ ਪੋਸਣ ਟਰੈਕਰ ਐਪ (13 ਜਨਵਰੀ, 2021)"
Preventing illnesses to avert Malnutrition and Death,ਕੁਪੋਸਣ ਅਤੇ ਮੌਤ ਨੂੰ ਟਾਲਣ ਲਈ ਬਿਮਾਰੀਆਂ ਦੀ ਰੋਕਥਾਮ
Ketugram - II,ਕੇਤੁਗ੍ਰਾਮ - II
Jamuria - II,ਜਮੂਰੀਆ - II
Pachim Mangaldai Icds Project,ਪਚਿਮ ਮੰਗਲਦਾਈ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Chandrakona - I,ਚੰਦਰਕੋਣਾ - I
N & M Andaman,ਉੱਤਰੀ ਅਤੇ ਮੱਧ ਅੰਡੇਮਾਨ
Scan the QR Code to Download the App,ਐਪ ਡਾਊਨਲੋਡ ਕਰਨ ਲਈ ਕਿਊਆਰ ਕੋਡ ਨੂੰ ਸਕੈਨ ਕਰੋ
North 24 Parganas,ਉੱਤਰ 24 ਪਰਗਨੇ
UJJAIN - U,ਉਜੈਨ - ਯੂ
Pregnant women who received Take Home Ration (THR),ਰਾਸਨ ਘਰ ਲਿਜਾਉ (THR) ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੀਆਂ ਗਰਭਵਤੀ ਔਰਤਾਂ
Icds Kasrgod Addl,ਆਈਸੀਡੀਐਸ ਕਾਸਰਗੋਡ ਏਡੀਡੀਐਲ
Please enter valid Height,ਕਿਰਪਾ ਕਰਕੇ ਉਚਿਤ ਉਚਾਈ ਦਰਜ ਕਰੋ
How one can add AWW/AWCs?,ਕੋਈ ਕਿਵੇਂ ਏਡਬਲਯੂਡਬਲਯੂ / ਏਡਬਲਯੂਸੀ ਜੋੜ ਸਕਦਾ ਹੈ?
Khatra - I,ਖਟੜਾ - I
West Khasi Hills,ਪੱਛਮੀ ਖਾਸੀ ਪਹਾੜੀਆਂ
Growth Monitoring Assessment Charts,ਵਿਕਾਸ ਨਿਗਰਾਨੀ ਮੁਲਾਂਕਣ ਚਾਰਟ
Memari - I,ਮੇਮਰੀ - I
Raiganj (R) Addl.,ਰਾਏਗੰਜ (ਰ) ਏਡੀਡੀਐਲ.
Assessment of growth in children,ਬੱਚਿਆਂ ਵਿੱਚ ਵਿਕਾਸ ਦਾ ਮੁਲਾਂਕਣ
South West Khasi Hills,ਪੱਛਮੀ ਪੱਛਮੀ ਖਾਸੀ ਪਹਾੜੀਆਂ
Request for Take Home Ration,ਘਰ ਲਿਜਾਉਣ ਵਾਲੇ ਰਾਸਨ ਲਈ ਬੇਨਤੀ
CANNING II MAIN,ਕੈਨਿੰਗ II ਮੁੱਖ
Siliguri (U) ICDS PROJECT,ਸਿਲੀਗੁੜੀ (ਯੂ) ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
General Awareness on SAM and MAM,ਐੱਸਏਐਮ(SAM) ਅਤੇ ਐਮਏਐਮ (MAM)ਬਾਰੇ ਆਮ ਜਾਗਰੂਕਤਾ
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.",ਕੋਈ ਵੀ ਐਪ ਵੈਧ ਇੰਟਰਨੈਟ ਕਨੈਕਸਨ ਤੋਂ ਬਿਨਾਂ ਕੰਮ ਨਹੀਂ ਕਰਦੀ ਹੈ।
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India.","ਅਧਿਕਾਰਤ ਸੰਸਥਾਵਾਂ ਭਾਰਤ ਸਰਕਾਰ ਦੁਆਰਾ ਸਥਾਪਿਤ ਸਾਰੇ ਲਾਗੂ ਕਾਨੂੰਨਾਂ, ਨਿਯਮਾਂ, ਨੀਤੀਆਂ ਅਤੇ ਤੀਜੀ-ਧਿਰ ਦੇ ਅਧਿਕਾਰਾਂ (ਸੀਮਾ ਦੇ ਸਮੇਤ ਅਤੇ ਬਿਨਾਂ, ਅੰਕੜੇ ਜਾਂ ਸੌਫਟਵੇਅਰ ਦੇ ਆਯਾਤ ਜਾਂ ਨਿਰਯਾਤ, ਗੋਪਨੀਅਤਾ, ਅਤੇ ਸਥਾਨਕ ਕਾਨੂੰਨਾਂ ਬਾਰੇ ਕੋਈ ਕਾਨੂੰਨ) ਦੀ ਪਾਲਣਾ ਕਰਨਗੀਆਂ।"
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,ਇਹ ਸੰਸਥਾਵਾਂ ਪੋਸਣ ਟਰੈਕਰ ਨਾਲ ਇਹਨਾਂ ਸਰਤਾਂ ਸਮੇਤ ਗੈਰ ਕਾਨੂੰਨੀ ਗਤੀਵਿਧੀ ਜਾਂ ਤੀਜੀ-ਧਿਰ ਦੇ ਅਧਿਕਾਰਾਂ ਦੀ ਉਲੰਘਣਾ ਨੂੰ ਉਤਸਾਹਿਤ ਕਰਨ ਜਾਂ ਵਧਾਉਣ ਲਈ APIs/ ਨੋ-ਕੋਡ ਵੈਬਪੇਜ ਏਕੀਕਰਣ ਦੀ ਵਰਤੋਂ ਨਹੀਂ ਕਰਨਗੀਆਂ।
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","ਗਰਭਵਤੀ ਔਰਤਾਂ, ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ, 6 ਮਹੀਨੇ ਤੋਂ 3 ਸਾਲ ਤੱਕ ਦੇ ਬੱਚੇ ਅਤੇ ਅੱਲ੍ਹੜ ਉਮਰ ਦੀਆਂ ਲੜਕੀਆਂ।"
6. DATA SECURITY,6. ਅੰਕੜਿਆਂ ਦੀ ਸੁਰੱਖਿਆ
South Salmara Mankachar,ਦੱਖਣ ਸਲਮਾਰਾ ਮਨਕਾਚਰ
0 months to 6 years,0 ਮਹੀਨੇ ਤੋਂ 6 ਸਾਲ
CHECK TICKET STATUS,ਟਿਕਟ ਸਥਿਤੀ ਦੀ ਜਾਂਚ ਕਰੋ
Icds Kanhangad Addl, ਆਈਸੀਡੀਐਸ. ਕਨਹੰਗੜ ਏਡੀਡੀਐਲ
CDPO Ghatkopar Urban,ਸੀਡੀਪੀਓ ਘਾਟਕੋਪਰ ਸਹਿਰੀ
Target / Total no.,ਟੀਚਾ / ਕੁੱਲ ਨੰ.
of,ਦੇ
Enter Email Address,ਈਮੇਲ ਪਤਾ ਭਰੋ
Dholpur - Rajasthan,ਧੌਲਪੁਰ - ਰਾਜਸਥਾਨ
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)","ਨਵੀਂ ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪਃ ਸੀਐਸਸੀ-ਐਸਪੀਵੀ ਨੋਡਲ ਵਿਅਕਤੀ (02 ਫਰਵਰੀ, 2021)"
Udam Singh Nagar,ਊਧਮ ਸਿੰਘ ਨਗਰ
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,ਇੱਕ ਆਂਗਣਵਾੜੀ ਵਰਕਰ ਇੱਕ ਲਾਭਪਾਤਰੀ ਨੂੰ ਇੱਕ ਆਂਗਣਵਾੜੀ ਸੈਂਟਰ ਤੋਂ ਦੂਜੇ ਆਂਗਣਵਾੜੀ ਸੈਂਟਰ ਵਿੱਚ ਉਹਨਾਂ ਦੇ ਆਧਾਰ ਨੰਬਰ ਦੇ ਆਧਾਰ 'ਤੇ ਮਾਈਗ੍ਰੇਟ ਕਰਨ ਲਈ 'ਮਾਈਗ੍ਰੇਟ ਲਾਭਪਾਤਰੀ' ਵਿਕਲਪ ਦੀ ਵਰਤੋਂ ਕਰ ਸਕਦਾ ਹੈ।
Narot Jaimal Singh,ਨਰੋਟ ਜੈਮਲ ਸਿੰਘ
Balasore Sadar I,ਬਾਲਾਸੋਰ ਸਦਰ I
General Awareness for Pregnancy,ਗਰਭ ਅਵਸਥਾ ਲਈ ਆਮ ਜਾਗਰੂਕਤਾ
Fatehpur - 84,ਫਤਿਹਪੁਰ - 84
A beneficiary is eligible for HCM for at least 21 days in a month.,ਇੱਕ ਲਾਭਪਾਤਰੀ ਇੱਕ ਮਹੀਨੇ ਵਿੱਚ ਘੱਟੋ-ਘੱਟ 21 ਦਿਨਾਂ ਲਈ ਐਚਸੀਐਮ ਲਈ ਯੋਗ ਹੁੰਦਾ ਹੈ।
Alipurduar - II Addl.,ਅਲੀਪੁਰਦੁਆਰ - II ਏਡੀਡੀਐਲ.
ABHA (Health ID) and its Benefits,ABHA ( ਸਵਾਸਥ ਆਈ ਡੀ) ਅਤੇ ਇਸਦੇ ਲਾਭ
Jorebunglow Sukiapokhri Adl,ਜੋਰੇਬੰਗਲੋ ਸੁਕਿਆਪੋਖਰੀ ਏਡੀਡੀਐਲ
"We'ar sorry, the page you requested could not be found.","ਸਾਨੂੰ ਮਾਫ ਕਰਨਾ, ਤੁਹਾਡੇ ਦੁਆਰਾ ਬੇਨਤੀ ਕੀਤਾ ਪੰਨਾ ਨਹੀਂ ਲੱਭਿਆ।"
Rani Ki Sarai,ਰਾਣੀ ਕੀ ਸਰਾਏ
Project Ii Saibaba Colony,ਪ੍ਰੋਜੈਕਟ II ਸਾਈਬਾਬਾ ਕਲੋਨੀ
Who is a beneficiary?,ਲਾਭਪਾਤਰੀ ਕੌਣ ਹੈ?
Dadra & Nagar Haveli - Daman & Diu,ਦਾਦਰਾ ਅਤੇ ਨਗਰ ਹਵੇਲੀ - ਦਮਨ ਅਤੇ ਦੀਉ
Download Mobile App from Play Store,ਪਲੇ ਸਟੋਰ ਤੋਂ ਮੋਬਾਈਲ ਐਪ ਡਾਊਨਲੋਡ ਕਰੋ
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws.","ਪੋਸਣ ਟਰੈਕਰ ਪਲੇਟਫਾਰਮ ਵਿੱਚ ਤੁਹਾਡੀ ਗੋਪਨੀਅਤਾ ਅਤੇ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਨੂੰ ਨੁਕਸਾਨ, ਦੁਰਵਰਤੋਂ, ਅਣਅਧਿਕਾਰਤ ਪ੍ਰਵੇਸ, ਖੁਲਾਸੇ, ਤਬਾਹੀ, ਅਤੇ ਲਾਗੂ ਕਾਨੂੰਨਾਂ ਦੀ ਪਾਲਣਾ ਵਿੱਚ ਜਾਣਕਾਰੀ ਦੇ ਬਦਲਾਅ ਤੋਂ ਬਚਾਉਣ ਲਈ ਉਚਿਤ ਸੁਰੱਖਿਆ ਉਪਾਅ ਅਤੇ ਅਨੁਕੂਲ ਪ੍ਰਬੰਧ ਹਨ।"
"Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server.","ਇਸ ਤੋਂ ਇਲਾਵਾ, ਜਦੋਂ ਵੀ ਤੁਸੀਂ ਸਿਸਟਮ 'ਤੇ ਆਪਣੇ ਖਾਤੇ ਜਾਂ ਇਸ ਨਾਲ ਸਬੰਧਤ ਕਿਸੇ ਵੀ ਜਾਣਕਾਰੀ ਨੂੰ ਬਦਲਦੇ ਜਾਂ ਐਕਸੈਸ ਕਰਦੇ ਹੋ, ਅਸੀਂ ਇੱਕ ਸੁਰੱਖਿਅਤ ਸਰਵਰ ਦੀ ਵਰਤੋਂ ਦੀ ਪੇਸਕਸ ਕਰਦੇ ਹਾਂ।"
"It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.","ਅੱਗੋਂ ਇਹ ਵੀ ਸਪੱਸਟ ਕੀਤਾ ਜਾਂਦਾ ਹੈ ਕਿ ਜਦੋਂ ਤੱਕ ਤੁਸੀਂ ਸਿਸਟਮ ਤੇ (ਸਿੱਧੇ ਜਾਂ ਅਸਿੱਧੇ ਤੌਰ 'ਤੇ) ਪ੍ਰਵੇਸ ਕਰਦੇ ਹੋ ਅਤੇ/ਜਾਂ ਵਰਤਦੇ ਹੋ, ਤੁਹਾਡੀ ਇਹ ਯਕੀਨੀ ਬਣਾਉਣ ਦੀ ਜਿੰਮੇਵਾਰੀ ਹੈ ਕਿ ਤੁਸੀਂ, ਤੁਹਾਡੇ ਅੰਕੜਿਆਂ ਦੀ ਅਖੰਡਤਾ ਅਤੇ ਸੁਰੱਖਿਆ ਨੂੰ ਸੁਰੱਖਿਅਤ ਰੱਖਣ ਲਈ ਜਿਸ ਵਿੱਚ ਤੁਹਾਡੀ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਸਾਮਲ ਹੋਵੇਗੀ ਅਤੇ ਇਸ ਤੱਕ ਸੀਮਿਤ ਨਹੀਂ ਹੋਵੇਗੀ, ਹਰ ਸਮੇਂ, ਆਪਣੇ ਵਲੋਂ ਢੁਕਵੇਂ ਭੌਤਿਕ, ਪ੍ਰਬੰਧਕੀ, ਅਤੇ ਤਕਨੀਕੀ ਸੁਰੱਖਿਆ ਉਪਾਅ ਕਰੋਗੇ।"
General Awareness on the Delivery of the child,ਬੱਚੇ ਦੀ ਡਿਲੀਵਰੀ 'ਤੇ ਆਮ ਜਾਗਰੂਕਤਾ
General Awareness on Anaemia,ਅਨੀਮੀਆ 'ਤੇ ਆਮ ਜਾਗਰੂਕਤਾ
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.","ਅਸੀਂ ਆਪਣੀਆਂ ਸੇਵਾਵਾਂ ਨੂੰ ਚਲਾਉਣ ਲਈ ਵੀ ਅੰਕੜਿਆਂ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹਾਂ, ਜਿਸ ਵਿੱਚ ਸਾਡੀ ਕਾਰਗੁਜਾਰੀ ਦਾ ਵਿਸਲੇਸਣ ਕਰਨਾ, ਸਾਡੀਆਂ ਕਾਨੂੰਨੀ ਜਿੰਮੇਵਾਰੀਆਂ ਨੂੰ ਪੂਰਾ ਕਰਨਾ, ਸਾਡੇ ਕਰਮਚਾਰੀਆਂ ਦਾ ਵਿਕਾਸ ਕਰਨਾ ਅਤੇ ਖੋਜ ਕਰਨਾ ਸਾਮਲ ਹੈ।"
We may also use the information to perform certain necessary operation for improvement of the System and for all acts incidental or ancillary to the provision of the System and for developing and providing new technologies and services.,ਅਸੀਂ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਸਿਸਟਮ ਦੇ ਸੁਧਾਰ ਲਈ ਅਤੇ ਸਿਸਟਮ ਦੇ ਪ੍ਰਬੰਧ ਨਾਲ ਸੰਬੰਧਿਤ ਜਾਂ ਸਹਾਇਕ ਕਾਰਵਾਈਆਂ ਅਤੇ ਨਵੀਆਂ ਤਕਨਾਲੋਜੀਆਂ ਅਤੇ ਸੇਵਾਵਾਂ ਦੇ ਵਿਕਾਸ ਅਤੇ ਪ੍ਰਦਾਨ ਕਰਨ ਲਈ ਕੁਝ ਜਰੂਰੀ ਕਾਰਵਾਈਆਂ ਕਰਨ ਲਈ ਵੀ ਕਰ ਸਕਦੇ ਹਾਂ।
South Salmara Mancachar,ਦੱਖਣੀ ਸਲਮਾਰਾ ਮਨਕਾਚਰ
Where can I enquire about Hot Cooked Meal?,ਮੈਂ ਗਰਮ ਪਕਾਏ ਹੋਏ ਭੋਜਨ ਬਾਰੇ ਕਿੱਥੇ ਪੁੱਛ ਸਕਦਾ ਹਾਂ?
"The Site may contain links to other websites that may not be owned, maintained, or operated by us.","ਸਾਈਟ ਵਿੱਚ ਹੋਰ ਵੈਬਸਾਈਟਾਂ ਦੇ ਲਿੰਕ ਸਾਮਲ ਹੋ ਸਕਦੇ ਹਨ ਜੋ ਹੋ ਸਕਦਾ ਹੈ ਸਾਡੇ ਦੁਆਰਾ ਮਾਲਕੀ, ਰੱਖ-ਰਖਾਅ ਜਾਂ ਸੰਚਾਲਿਤ ਨਾ ਹੋਣ।"
"The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites.","ਇਹ ਤੱਥ ਕਿ ਇਹ ਵੈੱਬਸਾਈਟਾਂ ਲਿੰਕ ਕੀਤੀਆਂ ਗਈਆਂ ਹਨ, ਸਾਡੇ ਵੱਲੋਂ ਇਹਨਾਂ ਵੈੱਬਸਾਈਟਾਂ ਦਾ ਕੋਈ ਸਮਰਥਨ ਨਹੀਂ ਦਰਸਾਉਂਦੀ, ਕਿਉਂਕਿ ਸਾਡਾ ਇਹਨਾਂ ਵੈੱਬਸਾਈਟਾਂ 'ਤੇ ਕੋਈ ਕੰਟਰੋਲ ਨਹੀਂ ਹੈ।"
We are not responsible for these websites including any content or the privacy practices of these websites.,"ਅਸੀਂ ਇਹਨਾਂ ਵੈੱਬਸਾਈਟਾਂ ਲਈ, ਕਿਸੇ ਵੀ ਸਮੱਗਰੀ ਜਾਂ ਇਹਨਾਂ ਵੈੱਬਸਾਈਟਾਂ ਦੇ ਗੋਪਨੀਅਤਾ ਸਰਤਾਂ ਸਮੇਤ ਜਿੰਮੇਵਾਰ ਨਹੀਂ ਹਾਂ।"
We strongly encourage you to familiarize yourself with the terms of use of these websites.,ਅਸੀਂ ਤੁਹਾਨੂੰ ਇਨ੍ਹਾਂ ਵੈੱਬਸਾਈਟਾਂ ਦੀ ਵਰਤੋਂ ਦੀਆਂ ਸਰਤਾਂ ਤੋਂ ਜਾਣੂ ਕਰਵਾਉਣ ਲਈ ਦ੍ਰਿੜਤਾ ਨਾਲ ਉਤਸਾਹਿਤ ਕਰਦੇ ਹਾਂ।
Your use of these websites is at your own risk and peril.,ਇਹਨਾਂ ਵੈੱਬਸਾਈਟਾਂ ਦੀ ਤੁਹਾਡੀ ਵਰਤੋਂ ਤੁਹਾਡੇ ਆਪਣੇ ਜੋਖਮ ਅਤੇ ਖਤਰੇ 'ਤੇ ਹੈ।
"It is solely up to you to take necessary precautions to ensure that the links you select or any software you may download is free of viruses, worms, Trojan horses, defects, date bombs, time bombs, and other or other computer programming routines which are of destructive nature","ਇਹ ਯਕੀਨੀ ਬਣਾਉਣ ਲਈ ਜਰੂਰੀ ਸਾਵਧਾਨੀ ਵਰਤਣਾ ਸਿਰਫ ਤੁਹਾਡੇ 'ਤੇ ਨਿਰਭਰ ਕਰਦਾ ਹੈ ਕਿ ਤੁਸੀਂ ਜੋ ਲਿੰਕ ਚੁਣਦੇ ਹੋ ਜਾਂ ਕੋਈ ਵੀ ਸੌਫਟਵੇਅਰ ਜੋ ਤੁਸੀਂ ਡਾਊਨਲੋਡ ਕਰਦੇ ਹੋ ਉਹ ਵਾਇਰਸ, ਕੀੜੇ, ਟਰੋਜਨ ਹਾਰਸ, ਨੁਕਸ, ਡੇਟ ਬੰਬ, ਟਾਈਮ ਬੰਬ, ਅਤੇ ਹੋਰ ਜਾਂ ਹੋਰ ਕੰਪਿਊਟਰ ਪ੍ਰੋਗਰਾਮਿੰਗ ਰੁਟੀਨ ਜੋ ਨਾਸਕ ਸੁਭਾਹ ਦੇ ਹਨ, ਤੋਂ ਮੁਕਤ ਹੈ।"
TITAGARH (U) ICDS PROJECT,ਤਿਤਗੜ੍ਹ (ਯੂ) ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Singtam Rural Project,ਸਿੰਗਤਮ ਰੂਰਲ ਪ੍ਰੋਜੈਕਟ
In how many languages AWW can enter the data while filling up the form?,ਫਾਰਮ ਭਰਨ ਵੇਲੇ ਕਿੰਨੀ ਭਾਸਾਵਾਂ ਵਿੱਚ ਏਡਬਲਯੂਡਬਲਯੂ ਜਾਂ ਏਡਬਲਯੂਸੀ ਡੇਟਾ ਦਾਖਲ ਕਰ ਸਕਦਾ ਹੈ?
Purnia East Urban,ਪੂਰਨੀਆ ਪੂਰਬੀ ਸਹਿਰੀ
Children who are identified as deficit on nutrition are eligible for additional food supplements.,"ਜਿਹੜੇ ਬੱਚੇ ਪੋਸਣ ਦੀ ਘਾਟ ਵਜੋਂ ਪਛਾਣੇ ਗਏ ਹਨ, ਉਹ ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਯੋਗ ਹਨ।"
An underweight person is a person whose body weight is considered too low to be healthy,ਇੱਕ ਘੱਟ ਭਾਰ ਵਾਲਾ ਵਿਅਕਤੀ ਉਹ ਵਿਅਕਤੀ ਹੁੰਦਾ ਹੈ ਜਿਸਦਾ ਸਰੀਰ ਦਾ ਭਾਰ ਸਿਹਤਮੰਦ ਹੋਣ ਲਈ ਬਹੁਤ ਘੱਟ ਮੰਨਿਆ ਜਾਂਦਾ ਹੈ
Balasore Sadar II,ਬਾਲਾਸੋਰ ਸਦਰ II
Project 1 Selvapuram,ਪ੍ਰੋਜੈਕਟ 1 ਸੇਲਵਾਪੁਰਮ
East Golaghat Icds,ਪੂਰਬੀ ਗੋਲਾਘਾਟ ਆਈ. ਸੀ. ਡੀ
Gangarampur ICDS Project,ਗੰਗਾਰਾਮਪੁਰ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Please enter Mobile Number,ਕਿਰਪਾ ਕਰਕੇ ਮੋਬਾਈਲ ਨੰਬਰ ਭਰੋ
Rewa - R,ਰੀਵਾ- ਆਰ
South West Garo Hills,ਪੱਛਮੀ ਪੱਛਮੀ ਗਾਰੋ ਪਹਾੜੀਆਂ
When and how to use MPIN?,ਐਮਪੀਆਈਐੱਨ ਕਦੋਂ ਅਤੇ ਕਿਵੇਂ ਵਰਤੀਏ?
