eng,or
How one can add AWW/AWCs?,ଜଣେ କିପରି ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁ / ଏଡବ୍ଲ୍ୟୁସିଙ୍କୁ ଯୋଡିପାରିବେ?
Khatra - I,ଖତ୍ରା - I
West Khasi Hills,ପଶ୍ଚିମ ଖାସି ପାହାଡ
Growth Monitoring Assessment Charts,ଅଭିବୃଦ୍ଧି ମନିଟରିଂ ମୂଲ୍ୟାଙ୍କନ ଚାର୍ଟ
Memari - I,ମେମାରି - I
Raiganj (R) Addl.,ରାଇଗଞ୍ଜ (ଆର) ଆଡିସନାଲ୍
Assessment of growth in children,ପିଲାମାନଙ୍କ ଅଭିବୃଦ୍ଧିର ମୂଲ୍ୟାଙ୍କନ
South West Khasi Hills,ଦକ୍ଷିଣ ପଶ୍ଚିମ ଖାସି ପାହାଡ
Request for Take Home Ration,ଘରକୁ ନେବା ସଉଦା ପାଇଁ ଅନୁରୋଧ
CANNING II MAIN,କ୍ୟାନିଂ II ମେନ୍
Siliguri (U) ICDS PROJECT,ସିଲିଗୁଡି (ୟୁ) ଆଇସିଡିଏସ୍ ପ୍ରୋଜେକ୍ଟ
General Awareness on SAM and MAM,SAM ଏବଂ MAM ଉପରେ ସାଧାରଣ ସଚେତନତା
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.","ନା, ବୈଧ ଇଣ୍ଟରନେଟ୍ ସଂଯୋଗ ବିନା ଆପ୍ କାମ କରିବ ନାହିଁ ।"
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India.","ସ୍ବୀକୃତିପ୍ରାପ୍ତ ସଂଗଠନଗୁଡିକ ଭାରତ ସରକାରଙ୍କ ଦ୍ବାରା ସ୍ଥାପିତ ସମସ୍ତ ପ୍ରଯୁଜ୍ୟ ଆଇନ, ନିୟମାବଳୀ, ନୀତି ଏବଂ ତୃତୀୟ-ପକ୍ଷ ଅଧିକାର (ସୀମିତତା ବିନା, ତଥ୍ୟ କିମ୍ବା ସଫ୍ଟୱେୟାର ଆମଦାନୀ କିମ୍ବା ରପ୍ତାନି ସମ୍ବନ୍ଧୀୟ କୌଣସି ଆଇନ, ଗୋପନୀୟତା ଏବଂ ସ୍ଥାନୀୟ ଆଇନ) ପାଳନ କରିବେ।"
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,ବେଆଇନ କାର୍ଯ୍ୟକଳାପକୁ ପ୍ରୋତ୍ସାହନ ଦେବା ପାଇଁ କିମ୍ବା ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ସହିତ ଏହି ସର୍ତ୍ତଗୁଡିକ ସହିତ ତୃତୀୟ-ପକ୍ଷ ଅଧିକାରର ଉଲ୍ଲଂଘନକୁ ପ୍ରୋତ୍ସାହନ ଦେବା ପାଇଁ ଏହି ସଂସ୍ଥାଗୁଡିକ API / No-code ୱେବପୃଷ୍ଠା ସଂଯୋଗକୁ ବ୍ୟବହାର କରିବେ ନାହିଁ |
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","ଗର୍ଭବତୀ ମହିଳା, ସ୍ତନ୍ୟପାନ କରାଉଥିବା ମା, 6 ମାସରୁ 3 ବର୍ଷ ପର୍ଯ୍ୟନ୍ତ ପିଲା ଏବଂ କିଶୋର ବାଳିକା |"
6. DATA SECURITY,6. ଡାଟା ସୁରକ୍ଷା
South Salmara Mankachar,ଦକ୍ଷିଣ ସଲମାର ମନକଚର
0 months to 6 years,0 ମାସରୁ 6 ବର୍ଷ |
CHECK TICKET STATUS,ଟିକେଟ୍ ସ୍ଥିତି ଯାଞ୍ଚ କରନ୍ତୁ
Icds Kanhangad Addl,ଆଇସିଡିଏସ୍ କାହ୍ନାଙ୍ଗାଡ୍ ଆଡିସନାଲ୍
CDPO Ghatkopar Urban,ସିଡିପିଓ ଘାଟକୋପର ଅର୍ବାନ
Target / Total no.of,ଲକ୍ଷ୍ୟ / ସମୁଦାୟ ନଂ ର
Enter Email Address,ଇମେଲ୍ ଠିକଣା ପ୍ରବେଶ କରନ୍ତୁ
Dholpur - Rajasthan,ଧୋଲପୁର - ରାଜସ୍ଥାନ
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)","ନୂଆ ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ଃ CSC-SPV ନୋଡାଲ୍ ବ୍ୟକ୍ତି (02 ଫେବୃଆରୀ, 2021)"
Udam Singh Nagar,ଉଧମ ସିଂହ ନଗର
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,ଜଣେ AWW ଏକ ହିତାଧିକାରୀଙ୍କୁ ଗୋଟିଏ AWC ରୁ ଅନ୍ୟ AWC ଆଧାର ନମ୍ବର ଆଧାରରେ ସ୍ଥାନାନ୍ତର କରିବା ପାଇଁ 'ସ୍ଥାନାନ୍ତର ହିତାଧିକାରୀ' ବିକଳ୍ପ ବ୍ୟବହାର କରିପାରିବ |
Narot Jaimal Singh,ନାରୋଟ ଜୟମଲ ସିଂ
Balasore Sadar I,ବାଲେଶ୍ୱର ସଦର 1
General Awareness for Pregnancy,ଗର୍ଭଧାରଣ ପାଇଁ ସାଧାରଣ ସଚେତନତା
Fatehpur - 84,ଫତେହପୁର - 84
A beneficiary is eligible for HCM for at least 21 days in a month.,ଜଣେ ହିତାଧିକାରୀ ଏକ ମାସରେ ଅତି କମ୍ ରେ 21 ଦିନ ପାଇଁ HCM ପାଇଁ ଯୋଗ୍ୟ ଅଟନ୍ତି |
Alipurduar - II Addl.,ଆଲିପୁରଦୁଆର - II ଆଡିସନାଲ୍
ABHA (Health ID) and its Benefits,ABHA (ସ୍ୱାସ୍ଥ୍ୟ ID) ଏବଂ ଏହାର ଉପକାରିତା
Jorebunglow Sukiapokhri Adl,ଜୋରେବୁଙ୍ଗଲୋ ସୁକିଆପୋଖରୀ ଆଡିସନାଲ୍
"We'ar sorry, the page you requested could not be found.","ଆମେ ଦୁ sorry ଖିତ, ଆପଣ ଅନୁରୋଧ କରିଥିବା ପୃଷ୍ଠା ମିଳିଲା ନାହିଁ |"
Rani Ki Sarai,ରାନୀ କି ସରାଇ
Project Ii Saibaba Colony,ପ୍ରୋଜେକ୍ଟ ଆଇ ସାଇବାବା କଲୋନୀ
Who is a beneficiary?,ହିତାଧିକାରୀ କିଏ?
Dadra & Nagar Haveli - Daman & Diu,ଦାଦ୍ରା ଏବଂ ନଗର ହାଭେଲି - ଦମାନ ଏବଂ ଦିଉ
Download Mobile App from Play Store,ପ୍ଲେ ଷ୍ଟୋରରୁ ମୋବାଇଲ୍ ଆପ୍ ଡାଉନଲୋଡ୍ କରନ୍ତୁ
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws.Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server.It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.","ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ପ୍ଲାଟଫର୍ମରେ ଆପଣଙ୍କର ଗୋପନୀୟତା ଏବଂ ବ୍ୟକ୍ତିଗତ ସୂଚନାକୁ କ୍ଷତି, ଅପବ୍ୟବହାର, ଅନଧିକୃତ ପ୍ରବେଶ, ପ୍ରକାଶ, ବିନାଶ ଏବଂ ପ୍ରଯୁଜ୍ୟ ନିୟମ ଅନୁଯାୟୀ ସୂଚନାର ପରିବର୍ତ୍ତନରୁ ରକ୍ଷା କରିବା ପାଇଁ ଯଥାର୍ଥ ସୁରକ୍ଷା ବ୍ୟବସ୍ଥା ଏବଂ ସୁରକ୍ଷା ବ୍ୟବସ୍ଥା ରହିଛି | ଆଗକୁ, ଯେତେବେଳେ ଆପଣ ସିଷ୍ଟମରେ ଆପଣଙ୍କ ଆକାଉଣ୍ଟକୁ ପରିବର୍ତ୍ତନ କିମ୍ବା ଆକ୍ସେସ୍ କରନ୍ତି କିମ୍ବା ଏହା ସହିତ ଜଡିତ କୌଣସି ସୂଚନା, ଆମେ ଏକ ସୁରକ୍ଷିତ ସର୍ଭରର ବ୍ୟବହାର ପ୍ରଦାନ କରୁ | ଏହା ଆହୁରି ସ୍ପଷ୍ଟ ହୋଇଛି ଯେ, ଯେପର୍ଯ୍ୟନ୍ତ ଆପଣ ସିଷ୍ଟମ୍ (ସିଧାସଳଖ କିମ୍ବା ପରୋକ୍ଷ ଭାବରେ) ଆକ୍ସେସ୍ ଏବଂ / କିମ୍ବା ବ୍ୟବହାର କରୁଛନ୍ତି, ନିଶ୍ଚିତ କରିବା ବାଧ୍ୟତାମୂଳକ ଯେ ଆପଣ, ସର୍ବଦା, ପର୍ଯ୍ୟାପ୍ତ ଶାରୀରିକ, ପରିଚାଳନାଗତ ଏବଂ ବୈଷୟିକ ସୁରକ୍ଷା ଗ୍ରହଣ କରିବେ, ଆପଣଙ୍କ ଶେଷରେ |, ଆପଣଙ୍କର ତଥ୍ୟର ଅଖଣ୍ଡତା ଏବଂ ନିରାପତ୍ତାକୁ ବଞ୍ଚାଇବା ପାଇଁ ଯାହା ଅନ୍ତର୍ଭୂକ୍ତ କରିବ ଏବଂ ଆପଣଙ୍କର ବ୍ୟକ୍ତିଗତ ସୂଚନାରେ ସୀମିତ ରହିବ ନାହିଁ |"
General Awareness on the Delivery of the child,ଶିଶୁର ପ୍ରସବ ଉପରେ ସାଧାରଣ ସଚେତନତା
General Awareness on Anaemia,ରକ୍ତହୀନତା ଉପରେ ସାଧାରଣ ସଚେତନତା
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.We may also use the information to perform certain necessary operation for improvement of the System and for all acts incidental or ancillary to the provision of the System and for developing and providing new technologies and services.","ଆମର ସେବାଗୁଡିକ ପରିଚାଳନା କରିବା ପାଇଁ ଆମେ ତଥ୍ଯ ମଧ୍ୟ ବ୍ୟବହାର କରୁ, ଯେଉଁଥିରେ ଆମର କାର୍ଯ୍ୟଦକ୍ଷତା ବିଶ୍ଳେଷଣ କରିବା, ଆମର ଆଇନଗତ ବାଧ୍ୟତାମୂଳକ ପୂରଣ, ଆମର କର୍ମଶାଳାର ବିକାଶ ଏବଂ ଅନୁସନ୍ଧାନ କରିବା ଅନ୍ତର୍ଭୁକ୍ତ | ସିଷ୍ଟମର ଉନ୍ନତି ପାଇଁ ତଥା ସିଷ୍ଟମର ଯୋଗାଣ ତଥା ନୂତନ ପ୍ରଯୁକ୍ତିବିଦ୍ୟା ଏବଂ ସେବାଗୁଡିକର ବିକାଶ ତଥା ଆନୁଷଙ୍ଗିକ କାର୍ଯ୍ୟ ପାଇଁ ଆମେ କିଛି ଆବଶ୍ୟକୀୟ କାର୍ଯ୍ୟ କରିବା ପାଇଁ ସୂଚନାକୁ ମଧ୍ୟ ବ୍ୟବହାର କରିପାରିବା |"
South Salmara Mancachar,ଦକ୍ଷିଣ ସଲମାର ମନଚ୍ଚର
Where can I enquire about Hot Cooked Meal?,ଗରମ ରନ୍ଧା ଖାଦ୍ୟ ବିଷୟରେ ମୁଁ କେଉଁଠାରେ ପଚାରିବି?
"The Site may contain links to other websites that may not be owned, maintained, or operated by us.The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites.We are not responsible for these websites including any content or the privacy practices of these websites.We strongly encourage you to familiarize yourself with the terms of use of these websites.Your use of these websites is at your own risk and peril.It is solely up to you to take necessary precautions to ensure that the links you select or any software you may download is free of viruses, worms, Trojan horses, defects, date bombs, time bombs, and other or other computer programming routines which are of destructive nature","ସାଇଟ୍ ଅନ୍ୟ ୱେବସାଇଟ୍ ସହିତ ଲିଙ୍କ୍ ଧାରଣ କରିପାରେ ଯାହା ଆମର ମାଲିକାନା, ରକ୍ଷଣାବେକ୍ଷଣ କିମ୍ବା ପରିଚାଳିତ ହୋଇନପାରେ | ଏହି ୱେବସାଇଟ୍ ଗୁଡିକ ଲିଙ୍କ୍ ହୋଇଥିବା କଥା, ଏହି ୱେବସାଇଟଗୁଡିକ ଉପରେ ଆମର କୌଣସି ନିୟନ୍ତ୍ରଣ ଥିବାରୁ ଆମର ଏହି ୱେବସାଇଟଗୁଡିକର କୌଣସି ସମର୍ଥନକୁ ସୂଚିତ କରେ ନାହିଁ | ଯେକୌଣସି ବିଷୟବସ୍ତୁ କିମ୍ବା ଏହି ୱେବସାଇଟଗୁଡିକର ଗୋପନୀୟତା ଅଭ୍ୟାସ ଅନ୍ତର୍ଭୂକ୍ତ କରି ଆମେ ଏହି ୱେବସାଇଟ୍ ପାଇଁ ଦାୟୀ ନୁହେଁ | ଏହି ୱେବସାଇଟ୍ ଗୁଡିକର ବ୍ୟବହାର ସର୍ତ୍ତାବଳୀ ସହିତ ନିଜକୁ ପରିଚିତ କରିବାକୁ ଆମେ ଦୃଢ ଭାବରେ ଉତ୍ସାହିତ କରୁଛୁ | ଏହି ୱେବସାଇଟ୍ ଗୁଡିକର ବ୍ୟବହାର ଆପଣଙ୍କ ନିଜ ବିପଦ ଏବଂ ବିପଦରେ | ଆପଣ ଆବଶ୍ୟକ କରୁଥିବା ସତର୍କତା ଅବଲମ୍ବନ କରିବା କେବଳ ଆପଣଙ୍କ ଉପରେ ନିର୍ଭର କରେ ଯେ ଆପଣ ଚୟନ କରିଥିବା ଲିଙ୍କଗୁଡିକ କିମ୍ବା ଆପଣ ଡାଉନଲୋଡ୍ କରିପାରିବେ ଯେକୌଣସି ସଫ୍ଟୱେର୍ ଭାଇରସ୍, ପୋକ, ଟ୍ରୋଜାନ୍ ଘୋଡା, ତ୍ରୁଟି, ତାରିଖ ବୋମା, ଟାଇମ୍ ବମ୍, ଏବଂ ଅନ୍ୟାନ୍ୟ କମ୍ପ୍ୟୁଟର ପ୍ରୋଗ୍ରାମିଂ ରୁଟିନ୍ ମୁକ୍ତ ଅଟେ | ବିନାଶକାରୀ ପ୍ରକୃତିର |"
TITAGARH (U) ICDS PROJECT,ଟିଟାଗଡ (ୟୁ) ଆଇସିଡିଏସ ପ୍ରୋଜେକ୍ଟ
Singtam Rural Project,ସିଙ୍ଗଟମ୍ ଗ୍ରାମୀଣ ପ୍ରକଳ୍ପ
In how many languages AWW can enter the data while filling up the form?,ଫର୍ମ ପୂରଣ କରିବା ସମୟରେ ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁ କିମ୍ୱା ଏଡବ୍ଲ୍ୟୁସି କେତେଗୋଟି ଭାଷାରେ ତଥ୍ୟ ପ୍ରବେଶ କରିପାରିବେ?
Purnia East Urban,ପୁର୍ଣ୍ଣିଆ ପୂର୍ବ ସହରାଞ୍ଚଳ
Children who are identified as deficit on nutrition are eligible for additional food supplements.,ପୁଷ୍ଟିକର ଖାଦ୍ୟର ଅଭାବ ବୋଲି ଚିହ୍ନିତ ପିଲାମାନେ ଅତିରିକ୍ତ ଖାଦ୍ୟ ସପ୍ଲିମେଣ୍ଟ ପାଇଁ ଯୋଗ୍ୟ ଅଟନ୍ତି |
An underweight person is a person whose body weight is considered too low to be healthy,"ଜଣେ ଓଜନିଆ ବ୍ୟକ୍ତି ହେଉଛନ୍ତି ଜଣେ ବ୍ୟକ୍ତି, ଯାହାର ଶରୀରର ଓଜନ ସୁସ୍ଥ ରହିବା ପାଇଁ ଅତ୍ୟଧିକ କମ୍ ବୋଲି ବିବେଚନା କରାଯାଏ |"
Balasore Sadar II,ବାଲେଶ୍ୱର ସଦର II
Project 1 Selvapuram,ପ୍ରୋଜେକ୍ଟ 1 ସେଲଭାପୁରମ୍
East Golaghat Icds,ପୂର୍ବ ଗୋଲାଘାଟ ଆଇସିଡସ୍
Gangarampur ICDS Project,ଗଙ୍ଗାରାମପୁର ଆଇସିଡିଏସ ପ୍ରକଳ୍ପ
Please enter Mobile Number,ଦୟାକରି ମୋବାଇଲ୍ ନମ୍ବର୍ ପ୍ରବେଶ କରନ୍ତୁ
Rewa - R,ରେୱା - ଆର
South West Garo Hills,ଦକ୍ଷିଣ ପଶ୍ଚିମ ଗାରୋ ପାହାଡ
When and how to use MPIN?,ଏମ୍ପିଆଇଏନ୍କୁ କେବେ ଏବଂ କିପରି ଭାବେ ବ୍ୟବହାର କରିବେ?
"We also send SMSs on your registered mobile number to alert you about registration, we also use your information to respond to you when you contact us and to investigate, respond to and resolve complaints and for Service issues (e. g. bugs).","ପଞ୍ଜୀକରଣ ବିଷୟରେ ଆପଣଙ୍କୁ ସଚେତନ କରିବା ପାଇଁ ଆମେ ଆପଣଙ୍କର ପଞ୍ଜୀକୃତ ମୋବାଇଲ୍ ନମ୍ବରରେ SMS ମଧ୍ୟ ପଠାଇଥାଉ, ଯେତେବେଳେ ଆପଣ ଆମ ସହିତ ଯୋଗାଯୋଗ କରିବେ ଏବଂ ଅଭିଯୋଗର ଅନୁସନ୍ଧାନ, ଜବାବ ଏବଂ ସମାଧାନ ପାଇଁ ତଥା ସେବା ସମସ୍ୟାଗୁଡିକ (ଯଥା ତ୍ରୁଟି) ପାଇଁ ଆମେ ଆପଣଙ୍କ ସୂଚନାକୁ ବ୍ୟବହାର କରିବୁ |"
Ensuring that complementary feeding improves over time,ସୁନିଶ୍ଚିତ କରିବା ଯେ ସଂପନ୍ନ ଖାଦ୍ୟପେୟ ସମୟ ସହିତ ଉନ୍ନତି କରେ
Memari - I Addl.,ମେମାରି - I ଆଡିସନାଲ୍
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (ସ୍ୱାସ୍ଥ୍ୟ ID) ବ୍ୟବହାର କରିବା ଆପଣଙ୍କ ଏବଂ ଆପଣଙ୍କ ପରିବାର ପାଇଁ ନିରାପଦ ଏବଂ ଦକ୍ଷ ଡିଜିଟାଲ୍ ସ୍ୱାସ୍ଥ୍ୟ ରେକର୍ଡ ସୃଷ୍ଟି କରିବାର ପ୍ରଥମ ପଦକ୍ଷେପ |
NALHATI-I A ICDS PROJECT (NGO),ନଲହାଟୀ- I ଏ ଆଇସିଡିଏସ୍ ପ୍ରୋଜେକ୍ଟ (ଏନଜିଓ)
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (ପୂର୍ବରୁ ସ୍ୱାସ୍ଥ୍ୟ ID ଭାବରେ ଜଣାଶୁଣା) ଆୟୁଷ୍ମାନ ଭାରତ ସ୍ବାସ୍ଥ୍ୟ ଖାତା ପାଇଁ ଏକ ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ |
AWW/AWCs can only be added by nodal level official.Anybody in the above rank in the hierarchy.,"ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁ / ଏଡବ୍ଲ୍ୟୁସିଙ୍କୁ କେବଳ ନୋଡାଲ୍ ସ୍ତରର ଅଧିକାରୀଙ୍କ ଦ୍ୱାରା ଯୋଡାଯାଇପାରିବ ।ଉପରୋକ୍ତ ପଦାନୁକ୍ରମରେ ଯେକୌଣସି ବ୍ୟକ୍ତି ।ଯେପରିକି ଜାତୀୟ ସ୍ତରର ବ୍ୟବହାରକାରୀ ରାଜ୍ୟ, ଜିଲ୍ଲା, ପ୍ରକଳ୍ପ ଏବଂ କ୍ଷେତ୍ର ସ୍ତରର ବ୍ୟବହାରକାରୀ ସୃଷ୍ଟି କରିପାରିବେ ।ରାଜ୍ୟ ସ୍ତରୀୟ ବ୍ୟବହାରକାରୀ ଜିଲ୍ଲା, ପ୍ରକଳ୍ପ ଏବଂ କ୍ଷେତ୍ର ସ୍ତରୀୟ ବ୍ୟବହାରକାରୀ ସୃଷ୍ଟି କରିପାରିବେ, ଜିଲ୍ଲା ସ୍ତରୀୟ ବ୍ୟବହାରକାରୀ ପ୍ରକଳ୍ପ ଏବଂ କ୍ଷେତ୍ର ସ୍ତରୀୟ ବ୍ୟବହାରକାରୀ ସୃଷ୍ଟି କରିପାରିବେ, ପ୍ରକଳ୍ପ ସ୍ତରର ବ୍ୟବହାରକାରୀ କ୍ଷେତ୍ର ସ୍ତରୀୟ ବ୍ୟବହାରକାରୀ ସୃଷ୍ଟି କରିପାରିବେ ।"
