eng,ml
"This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) AddressIf you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature.","ഇതിൽ ഉൾപ്പെടാം- (i) പേര് (ii) മൊബൈൽ നമ്പർ (iii) ജനനത്തീയതി (iv)ലിംഗം (v) കുട്ടിയുടെ പേര് (vi) ആധാർ നമ്പർ (vii) വിലാസംനിങ്ങൾക്ക് ഒരു ഉൽപ്പന്നമോ സവിശേഷതയോ നൽകുന്നതിന് ആവശ്യമായ ഡാറ്റ നൽകേണ്ടതില്ലെന്ന് നിങ്ങൾ തിരഞ്ഞെടുക്കുകയാണെങ്കിൽ, നിങ്ങൾക്ക് ആ ഉൽപ്പന്നമോ സവിശേഷതയോ ഉപയോഗിക്കാൻ കഴിയില്ല."
"You may, however, choose not to share personal data where providing the data is optional.","എന്നിരുന്നാലും, ഡാറ്റ നൽകുന്നത് ഓപ്ഷണൽ ആയിരിക്കുന്നിടത്ത് വ്യക്തിഗത ഡാറ്റ പങ്കിടരുതെന്ന് നിങ്ങൾക്ക് തിരഞ്ഞെടുക്കാം."
Tracking of services to the end beneficiary at a click of a button.,ഒരു ബട്ടണിന്റെ ഒരു ക്ലിക്കിലൂടെ അന്തിമ ഗുണഭോക്താവിലേക്കുള്ള സേവനങ്ങളുടെ ട്രാക്കിംഗ്.
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","ടേക്ക് ഹോം റേഷൻ (THR), ഹോട്ട് കുക്ക്ഡ് മീൽ (HCM), ശിശുക്കൾക്കും ഗർഭിണികൾക്കും വാക്സിനേഷൻ പോലുള്ള സേവനങ്ങൾ"
Enter Weight in kilogram,ഭാരം കിലോഗ്രാമിൽ രേഖപ്പെടുത്തുക
Garbeta - I Adl.,ഗാർബെറ്റ - I എഡിഎൽ.
Lakhimpur Kheri City,ലഖിംപൂർ ഖേരി സിറ്റി
"New Poshan Tracker App (13 January, 2021)","പുതിയ പോഷൻ ട്രാക്കർ ആപ്പ് (13 ജനുവരി, 2021)"
Preventing illnesses to avert Malnutrition and Death,പോഷകാഹാരക്കുറവും മരണവും ഒഴിവാക്കാൻ രോഗങ്ങൾ തടയുന്നു
Ketugram - II,കേതുഗ്രാം - II
Jamuria - II,ജമൂരിയ - II
Pachim Mangaldai Icds Project,പാച്ചിം മംഗൾദായ് ഐസിഡിഎസ് പ്രോജക്ട്
Chandrakona - I,ചന്ദ്രകോണ - I
N & M Andaman,"നോർത്ത്, മിഡിൽ ആൻഡമാൻ"
Scan the QR Code to Download the App,ആപ്പ് ഡൌൺലോഡ് ചെയ്യാൻ QR കോഡ് സ്കാൻ ചെയ്യുക
North 24 Parganas,നോർത്ത് 24 പർഗാനാസ്
UJJAIN - U,ഉജ്ജയിൻ - യു
Pregnant women who received Take Home Ration (THR),ടേക്ക് ഹോം റേഷൻ (THR) സ്വീകരിച്ച ഗർഭിണികൾ
Icds Kasrgod Addl,ഐസിഡിഎസ് കാസർകോട് എഡിഡിഎൽ
Please enter valid Height,ദയവായി സാധുവായ ഉയരം നൽകുക
How one can add AWW/AWCs?,ഒരാൾക്ക് എങ്ങനെ എഒപ്പംഒപ്പം / എഒപ്പംഒപ്പം ചേർക്കാൻ കഴിയും?
Khatra - I,ഖത്ര - I
West Khasi Hills,വെസ്റ്റ് ഖാസി ഹിൽസ്
Growth Monitoring Assessment Charts,വളർച്ചാ നിരീക്ഷണ വിലയിരുത്തൽ ചാർട്ടുകൾ
Memari - I,മെമാരി - I
Raiganj (R) Addl.,റായ്ഗഞ്ച് (ആർ) എഡിഎൽ.
Assessment of growth in children,കുട്ടികളിലെ വളർച്ചയുടെ വിലയിരുത്തൽ
South West Khasi Hills,സൌത്ത് വെസ്റ്റ് ഖാസി ഹിൽസ്
Request for Take Home Ration,വീട്ടിലേക്ക് റേഷൻ കൊണ്ടുപോകാനുള്ള  അഭ്യർത്ഥന
CANNING II MAIN,കാനിംഗ് II മെയിൻ
Siliguri (U) ICDS PROJECT,സിലിഗുരി (യു) ഐസിഡിഎസ് പ്രോജക്ട്
General Awareness on SAM and MAM,"SAM, MAM എന്നിവയെക്കുറിച്ചുള്ള പൊതുവായ അവബോധം"
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.","ഇല്ല, സാധുവായ ഇന്റർനെറ്റ് കണക്ഷൻ ഇല്ലാതെ അപ്ലിക്കേഷൻ പ്രവർത്തിക്കുന്നില്ല."
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India.","അംഗീകൃത ഓർഗനൈസേഷനുകൾ ബാധകമായ എല്ലാ നിയമങ്ങളും നിയന്ത്രണങ്ങളും നയങ്ങളും മൂന്നാം കക്ഷി അവകാശങ്ങളും (പരിമിതികളില്ലാതെ, ഡാറ്റ അല്ലെങ്കിൽ സോഫ്റ്റ്വെയറിന്റെ ഇറക്കുമതി അല്ലെങ്കിൽ കയറ്റുമതി സംബന്ധിച്ച ഏതെങ്കിലും നിയമങ്ങൾ, സ്വകാര്യത, പ്രാദേശിക നിയമങ്ങൾ) എന്നിവയ്ക്ക് അനുസൃതമായി പ്രവർത്തിക്കും."
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,പോഷൻ ട്രാക്കറുമായുള്ള ഈ നിബന്ധനകൾ ഉൾപ്പെടെയുള്ള നിയമവിരുദ്ധമായ പ്രവർത്തനം അല്ലെങ്കിൽ മൂന്നാം കക്ഷി അവകാശങ്ങളുടെ ലംഘനം പ്രോത്സാഹിപ്പിക്കാനോ പ്രോത്സാഹിപ്പിക്കാനോ ഈ ഓർഗനൈസേഷനുകൾ API-കൾ/കോഡ് നോ-കോഡ് വെബ്പേജ് സംയോജനം ഉപയോഗിക്കില്ല.
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","ഗർഭിണികൾ, മുലയൂട്ടുന്ന അമ്മമാർ, 6 മാസം മുതൽ 3 വയസ്സ് വരെയുള്ള കുട്ടികൾ, കൌമാരക്കാരായ പെൺകുട്ടികൾ."
6. DATA SECURITY,6. ഡാറ്റ സെക്യൂരിറ്റി
South Salmara Mankachar,സൌത്ത് സൽമാര മങ്കാചാർ
0 months to 6 years,0 മാസം മുതൽ 6 വർഷം വരെ
CHECK TICKET STATUS,ടിക്കറ്റ് സ്റ്റാറ്റസ് പരിശോധിക്കുക
Icds Kanhangad Addl,ഐസിഡിഎസ് കാഞ്ഞങ്ങാട് എഡിഡിഎൽ
CDPO Ghatkopar Urban,സിഡിപിഒ ഘാട്കോപ്പർ അർബൻ
Target / Total no.,ലക്ഷ്യം / ആകെ നമ്പർ.
of,യുടെ
Enter Email Address,ഇ-മെയിൽ അഡ്രസ് നൽകുക
Dholpur - Rajasthan,ധോൽപൂർ - രാജസ്ഥാൻ
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)","പുതിയ പോഷൻ ട്രാക്കർ അപ്ലിക്കേഷൻഃ സിഎസ്സി-എസ്പിവി നോഡൽ പേഴ്സൺ (02 ഫെബ്രുവരി, 2021)"
Udam Singh Nagar,ഉദംസിംഗ് നഗർ
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,AWW-ന് അവരുടെ ആധാർ നമ്പർ അടിസ്ഥാനമാക്കി ഒരു AWC-യിൽ നിന്ന് മറ്റൊരു AWC-ലേക്ക് ഒരു ഗുണഭോക്താവിനെ മൈഗ്രേറ്റ് ചെയ്യാൻ 'മൈഗ്രേറ്റ് ബെനിഫിഷ്യറി' ഓപ്ഷൻ ഉപയോഗിക്കാം.
Narot Jaimal Singh,നരോത് ജയമാൽ സിംഗ്
Balasore Sadar I,ബാലസോർ സദർ ഐ
General Awareness for Pregnancy,ഗർഭധാരണത്തിനുള്ള പൊതു അവബോധം
Fatehpur - 84,ഫത്തേപൂർ - 84
A beneficiary is eligible for HCM for at least 21 days in a month.,ഒരു ഗുണഭോക്താവിന് ഒരു മാസത്തിൽ കുറഞ്ഞത് 21 ദിവസത്തേക്ക് HCM-ന് അർഹതയുണ്ട്.
Alipurduar - II Addl.,അലിപുർദുവാർ - II അഡീഷണൽ.
ABHA (Health ID) and its Benefits,ABHA (ഹെൽത്ത് ഐഡി) അതിന്റെ ഗുണങ്ങളും
Jorebunglow Sukiapokhri Adl,ജോർബംഗ്ലാവ് സുകിയപോഖ്രി എഡിഎൽ
"We'ar sorry, the page you requested could not be found.","ക്ഷമിക്കണം, നിങ്ങൾ അഭ്യർത്ഥിച്ച പേജ് കണ്ടെത്താൻ കഴിഞ്ഞില്ല."
Rani Ki Sarai,റാണി കി സരായ്
Project Ii Saibaba Colony,പ്രോജക്ട് II സായിബാബ കോളനി
Who is a beneficiary?,ആരാണ് ഒരു ഗുണഭോക്താവ്?
Dadra & Nagar Haveli - Daman & Diu,ദാദ്ര & നഗർ ഹവേലി - ദാമൻ ആൻഡ് ദിയു
Download Mobile App from Play Store,പ്ലേ സ്റ്റോറിൽ നിന്ന് മൊബൈൽ ആപ്പ് ഡൌൺലോഡ് ചെയ്യുക
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws.Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server.It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.","പോഷൻ ട്രാക്കർ പ്ലാറ്റ്ഫോമിന് നിങ്ങളുടെ സ്വകാര്യതയും വ്യക്തിഗത വിവരങ്ങളും നഷ്ടം, ദുരുപയോഗം, അനധികൃത ആക്സസ്, വെളിപ്പെടുത്തൽ, നശിപ്പിക്കൽ, ബാധകമായ നിയമങ്ങൾക്ക് അനുസൃതമായി വിവരങ്ങളുടെ മാറ്റം എന്നിവയിൽ നിന്ന് സംരക്ഷിക്കുന്നതിന് ന്യായമായ സുരക്ഷാ നടപടികളും പരിരക്ഷകളും ഉണ്ട്.കൂടാതെ, നിങ്ങൾ സിസ്റ്റത്തിൽ നിങ്ങളുടെ അക്കൌണ്ട് മാറ്റുമ്പോഴോ ആക്സസ് ചെയ്യുമ്പോഴോ അല്ലെങ്കിൽ അതുമായി ബന്ധപ്പെട്ട ഏതെങ്കിലും വിവരങ്ങൾ നൽകുമ്പോഴോ, ഞങ്ങൾ ഒരു സുരക്ഷിത സെർവറിന്റെ ഉപയോഗം വാഗ്ദാനം ചെയ്യുന്നു.നിങ്ങൾ സിസ്റ്റം ആക്സസ്സുചെയ്യുകയും/അല്ലെങ്കിൽ ഉപയോഗിക്കുകയും ചെയ്യുന്നിടത്തോളം കാലം (നേരിട്ടോ അല്ലാതെയോ) നിങ്ങൾ എല്ലായ്പ്പോഴും മതിയായ ശാരീരികവും മാനേജുമെന്റും സാങ്കേതികവുമായ സുരക്ഷാ മുൻകരുതലുകൾ എടുക്കുന്നുണ്ടെന്ന് ഉറപ്പാക്കാനുള്ള ബാധ്യത നിങ്ങൾക്കുണ്ടെന്ന് കൂടുതൽ വ്യക്തമാക്കുന്നു., നിങ്ങളുടെ ഡാറ്റയുടെ സമഗ്രതയും സുരക്ഷിതത്വവും സംരക്ഷിക്കുന്നതിന്, അതിൽ നിങ്ങളുടെ സ്വകാര്യ വിവരങ്ങൾ ഉൾപ്പെടുന്നതും അതിൽ മാത്രം പരിമിതപ്പെടാത്തതുമായിരിക്കണം."
