eng,ur
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,MPIN. ایک چار عدد پاس ورڈ ہے جو آنگن واڑی عاملین کے ذریعہ سیٹ کیا جاتا ہےجب وہ پوشن ٹریکر اپلیکیشن کے لئے رجسٹر کرتے ہیں
 VI. ACCESS RESTRICTIONS,VI. رسائی کی پابندیاں
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development,توقع کی جارہی ہے کہ نئے نمو کے منحنی خطوط ایک واحد بین الاقوامی معیار فراہم کریں گے جو پیدائش سے لے کر پانچ سال کی عمر تک کے تمام بچوں کے لئے جسمانی نشوونما کی بہترین وضاحت کی نمائندگی کرتا ہے اور دودھ پلانے والے نوزائیدہ بچے کو نشوونما اور نشوونما کے لئے ایک بنیادی ماڈل کے طور پر قائم کرتا ہے ۔
"Specifications of Smart phone and Technical Compatibility Testing (02 February, 2021)",اسمارٹ فون کی خصوصیات اور تکنیکی ہم آہنگی کی جانچ (02 فروری 2021)
Real time recording and Monitoring,حقیقی وقت ریکارڈنگ اورنگرانی
Dhupguri Adl 1,دھوپ گوڑی اڈیشنل 1
Beneficiary count report,فائدہ اٹھانے والوں کی گنتی کی رپورٹ
Kaliachak - III Adl.,کلیا چالٓ - III اڈیشنل
Request for child's height and weight measurement,بچے کے قد اور وزن کی پیمائش کی درخواست
How to Reset MPIN?,MPIN کو کس طرح ری سیٹ کریں ؟
Children (6 months - 3 years),بچے (6 مہینے - 3 سال )
Patna Sadar (4) W (21-26),پٹنہ صدر 4 ویسٹ (26-21)
Bhind - U,بھنڈ اربن
Champhai ICDS Project,چمپھئی آئی سی ڈی ایس پروجیکٹ
Krishnagar - I,کرشنا نگر - I
Thingsulthliah ICDS Project,سنگتھولتھلیاہ آئی سی ڈی ایس پروجیکٹ
Please select Date of Birth,براہ کرم تاریخ پیدائش منتخب کریں ۔
How to register for Swastha Balak Balika Spardha?,صحت مند لڑکا لڑکی کے مقابلے کے لیے کیسے رجسٹر ہوں
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.We may use various technologies to collect and store information, including cookies, local storage, such as browser web storage or application data caches, databases, and server logs to collect and use your information in certain cases.",جب آپ ہماری سائٹس ، ایپ اور پلیٹ فارم ٹیکنالوجی سمیت ہماری سروسز کا دورہ کرتے ہیں یا بصورت دیگر استعمال کرتے ہیں تو ہم استعمال کا ڈیٹا لاگ کرتے ہیں ۔ہم معلومات کو جمع کرنے اور ذخیرہ کرنے کے لیے مختلف ٹیکنالوجیز کا استعمال کر سکتے ہیں ،بشمول کوکیز ، مقامی اسٹوریج ، جیسے براؤزر ویب اسٹوریج یا ایپلیکیشن ڈیٹا کیش ، ڈیٹا بیس ، اور سرور لاگز آپ کی معلومات کو جمع کرنے اور مخصوص صورتوں میں استعمال کرنے کے لیے ۔
Skill Sets and Requirements,مہارتیں اور مطلوبہ چیزیں
Cooch Behar II,کوچ بہار - II
Mahishadal-I Addl.,مہیشدل - I اڈیشنل
"Result couldn't be fetch, please enter valid data",نتیجہ حاصل نہیں کیا جا سکا ، براہ کرم درست ڈیٹا درج کریں ۔
Mathabhanga II Addl,ماتا بھنگا II اڈیشنل
Morning Snacks/Breakfast not received,صبح کا ناشتہ / ناشتہ موصول نہیں ہوا ۔
Available in 22 different languages,22 مختلف زبانوں میں دستیاب ہے ۔
Ambedkar Nagar City,امبیدکر نگر سٹی
Galsi - I,گلسی - I
Central Golaghat I. C. D. S. Project,گول گھاٹ سنترل آئیسی ڈی ا س پروجیکٹ
Gautam Buddha Nagar City,گوتم بدھ نگر سٹی
Application downloaded status by AWW,AWW کے ذریعہ ایپلیکیشن ڈاؤن لوڈ کی گئی حیثیت
