eng,kn
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool.","ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್' ಎನ್ನುವುದು 1 ಮಾರ್ಚ್ 2021 ರಂದು ಭಾರತ ಸರ್ಕಾರದ ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ ಸಚಿವಾಲಯವು ರಾಷ್ಟ್ರೀಯ ಇ-ಆಡಳಿತ ವಿಭಾಗ (NeGD), MyGov ಮೂಲಕ ಪ್ರಮುಖ ಆಡಳಿತ ಸಾಧನವಾಗಿ ಪ್ರಾರಂಭಿಸಲಾದ ಮೊಬೈಲ್ ಆಧಾರಿತ ಅಪ್ಲಿಕೇಶನ್ ಆಗಿದೆ."
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","ಪೋಷನ್ ಟ್ರ್ಯಾಕರ್ ಅಡಿಯಲ್ಲಿ ತಂತ್ರಜ್ಞಾನವು ಮಕ್ಕಳಲ್ಲಿ ಕುಂಠಿತ, ಕ್ಷೀಣಿಸುವಿಕೆ, ಕಡಿಮೆ ತೂಕದ ಹರಡುವಿಕೆ ಮತ್ತು ಪೌಷ್ಟಿಕಾಂಶ ಸೇವೆಯ ವಿತರಣೆಯ ಕೊನೆಯ ಟ್ರ್ಯಾಕಿಂಗ್ ಅನ್ನು ಕ್ರಿಯಾತ್ಮಕವಾಗಿ ಗುರುತಿಸಲು ಬಳಸಲಾಗುತ್ತಿದೆ"
Dadra & Nagar Haveli,ದಾದ್ರಾ ಮತ್ತು ನಗರ ಹವೇಲಿ
Habibpur Addl.,ಹಬೀಬ್ಪುರ್ Addl.
2,2
Icds Tirur Addl,ಐಸಿಡಿಎಸ್ ತಿರುರ್ ಹೆಚ್ಚುವರಿ
Raipur-  Karchulian-2,ರಾಯ್ಪುರ್- ಕರ್ಚುಲಿಯನ್-2
The System also takes feedback about system performance and experience.,ಸಿಸ್ಟಮ್ ಕಾರ್ಯಕ್ಷಮತೆ ಮತ್ತು ಅನುಭವದ ಬಗ್ಗೆ ಪ್ರತಿಕ್ರಿಯೆಯನ್ನು ಸಹ ಸಿಸ್ಟಮ್ ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ.
"Information on name, mobile number, date of registration and health status may be used for these purposes","ಹೆಸರು, ಮೊಬೈಲ್ ಸಂಖ್ಯೆ, ನೋಂದಣಿ ದಿನಾಂಕ ಮತ್ತು ಆರೋಗ್ಯ ಸ್ಥಿತಿ ಮಾಹಿತಿಯನ್ನು ಈ ಉದ್ದೇಶಗಳಿಗಾಗಿ ಬಳಸಬಹುದು"
Medchal - Malkajigiri,ಮೇಡ್ಚಲ್ ಮಲ್ಕಜ್ಗಿರಿ
Poshan Tracker App,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಅಪ್ಲಿಕೇಶನ್
Aspirational Districts Program,ಮಹತ್ವಾಕಾಂಕ್ಷೆಯ ಜಿಲ್ಲಾ ಕಾರ್ಯಕ್ರಮ
Kultali Addl.ICDS Project,ಕುಲ್ತಾಲಿ ಹೆಚ್ಚುವರಿ ಐಸಿಡಿಎಸ್ ಯೋಜನೆ
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account.","ನೀವು ಖಾತೆಯನ್ನು ತೆರೆಯುವುದನ್ನು ಸೇರಿ, ನೀವು ನಮ್ಮ ಸೇವೆಗಳನ್ನು ಬಳಸಿದಾಗ ನಾವು ಈ ಮಾಹಿತಿಗಳನ್ನು ಸಂಗ್ರಹಿಸುತ್ತೇವೆ."
"This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) AddressIf you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature.","ಇದು- (i) ಹೆಸರು (ii) ಮೊಬೈಲ್ ಸಂಖ್ಯೆ (iii) ಜನ್ಮ ದಿನಾಂಕ (iv) ಲಿಂಗ (v) ಮಗುವಿನ ಹೆಸರು (vi) ಆಧಾರ್ ಸಂಖ್ಯೆ (vii) ವಿಳಾಸವನ್ನು ಒಳಗೊಂಡಿರಬಹುದುನೀವು ಒಂದು ಉತ್ಪನ್ನ ಅಥವಾ ವೈಶಿಷ್ಟ್ಯಗಳಿಗೆ ನಿಮ್ಮ ಡೇಟಾವನ್ನು ಕೊಡಲು ಬಯಸದೆ ಇದ್ದಲ್ಲಿ, ನೀವು ಆ ಉತ್ಪನ್ನ ಅಥವಾ ವೈಶಿಷ್ಟ್ಯವನ್ನು ಬಳಸಲಾಗುವುದಿಲ್ಲ."
"You may, however, choose not to share personal data where providing the data is optional.",ಡೇಟಾವನ್ನೂ ನೀಡುವುದು ಆಯ್ಕೆ ಆಗಿರುವುದರಿಂದ ನೀವು ನಿಮ್ಮ ವೈಯುಕ್ತಿಕ ಡೇಟಾವನ್ನು ಹಂಚದೆ ಇರುವ ಆಯ್ಕೆ ಆರಿಸಬಹುದು.
Tracking of services to the end beneficiary at a click of a button.,ಒಂದು ಬಟನ್ನ ಕ್ಲಿಕ್ನಲ್ಲಿ ಅಂತಿಮ ಫಲಾನುಭವಿಗೆ ಸೇವೆಗಳ ಟ್ರ್ಯಾಕಿಂಗ್.
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","ಟೇಕ್ ಹೋಮ್ ರೇಷನ್ (THR) ಮತ್ತು ಬಿಸಿ ಊಟ (HCM), ಶಿಶುಗಳು ಮತ್ತು ಗರ್ಭಿಣಿ ಮಹಿಳೆಯರಿಗೆ ವ್ಯಾಕ್ಸಿನೇಷನ್ನಂತಹ ಸೇವೆಗಳು"
Enter Weight in kilogram,ತೂಕವನ್ನು ಕಿಲೋಗ್ರಾಂಗಳಲ್ಲಿ ನಮೂದಿಸಿ
Garbeta - I Adl.,ಗಾರ್ಬೆಟಾ - I ಹೆಚ್ಚುವರಿ
Lakhimpur Kheri City,ಲಖಿಂಪುರ ಖೇರಿ ನಗರ
"New Poshan Tracker App (13 January, 2021)","ಹೊಸ ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಆಪ್ಪ್ (೧೩, ಜನವರಿ,೨೦೨೧)"
Preventing illnesses to avert Malnutrition and Death,ಅಪೌಷ್ಠಿಕತೆ ಮತ್ತು ಸಾವನ್ನು ತಡೆಯಲು ರೋಗವನ್ನು ತಡೆಗಟ್ಟುವುದು
Ketugram - II,ಕೇತುಗ್ರಾಮ - II
Jamuria - II,ಜಮುರಿಯಾ - II
Pachim Mangaldai Icds Project,ಪಚಿಮ್ ಮಂಗಲ್ಡೈ ಐಸಿಡಿಎಸ್ ಯೋಜನೆ
Chandrakona - I,ಚಂದ್ರಕೋಣ - I
N & M Andaman,ಉತ್ತರ ಮತ್ತು ಮಧ್ಯ ಅಂಡಮಾನ್
Scan the QR Code to Download the App,ಅಪ್ಲಿಕೇಶನ್ ಡೌನ್ಲೋಡ್ ಮಾಡಲು ಕ್ಯೂಆರ್ ಕೋಡ್ ಸ್ಕ್ಯಾನ್ ಮಾಡಿ
North 24 Parganas,ಉತ್ತರ ೨೪ ಪರಗಣಗಳು
UJJAIN - U,ಉಜ್ಜೈನ್ - ಯು
Pregnant women who received Take Home Ration (THR),ಟೇಕ್ ಹೋಮ್ ರೇಷನ್ (THR) ಪಡೆದಿರುವ ಗರ್ಭಿಣಿಯರು
Icds Kasrgod Addl,ಐಸಿಡಿಎಸ್ ಕಾಸರಗೋಡು ಹೆಚ್ಚುವರಿ
Please enter valid Height,ದಯವಿಟ್ಟು ಸೂಕ್ತವಾದ ಎತ್ತರವನ್ನು ನಮೂದಿಸಿ
How one can add AWW/AWCs?,ಎಡಬ್ಲ್ಯುಡಬ್ಲ್ಯು / ಎಡಬ್ಲ್ಯುಸಿ ಅನ್ನು ಹೇಗೆ ಸೇರಿಸಬಹುದು?
Khatra - I,ಖಾತ್ರಾ - I
West Khasi Hills,ಪಶ್ಚಿಮ ಖಾಸಿ ಬೆಟ್ಟಗಳು
Growth Monitoring Assessment Charts,ಬೆಳವಣಿಗೆಯ ಮಾನಿಟರಿಂಗ್ ಮೌಲ್ಯಮಾಪನ ಪಟ್ಟಿ
Memari - I,ಮೆಮರಿ - I
Raiganj (R) Addl.,ರಾಯಗಂಜ್ (ಆರ್) ಹೆಚ್ಚುವರಿ
Assessment of growth in children,ಮಕ್ಕಳಲ್ಲಿನ ಬೆಳವಣಿಗೆಯ ಮೌಲ್ಯಮಾಪನ
South West Khasi Hills,ನೈಋತ್ಯ ಖಾಸಿ ಬೆಟ್ಟಗಳು
Request for Take Home Ration,ಮನೆಗೆ ತೆಗೆದುಕೊಂಡು ಹೋಗುವ ರೇಷನ್ ಗೆ ವಿನಂತಿ
CANNING II MAIN,ಕ್ಯಾನಿಂಗ್ II ಮುಖ್ಯ
Siliguri (U) ICDS PROJECT,ಸಿಲಿಗುರಿ (ಯು) ಐಸಿಡಿಎಸ್ ಯೋಜನೆ
General Awareness on SAM and MAM,SAM ಮತ್ತು MAM ಕುರಿತು ಸಾಮಾನ್ಯ ಅರಿವು
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.","ಇಲ್ಲ, ಮಾನ್ಯವಾದ ಇಂಟರ್ನೆಟ್ ಇಲ್ಲದೆ ಈ ಆಪ್ಪ್ ಕೆಲಸ ಮಾಡುವುದಿಲ್ಲ."
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India.","ಅಧಿಕೃತ ಸಂಸ್ಥೆಯು ಭಾರತ ಸರ್ಕಾರದಿಂದ ಸ್ಥಾಪಿಸಲಾದ ಎಲ್ಲಾ ಅನ್ವಯವಾಗುವ ಕಾನೂನುಗಳು, ನಿಬಂಧನೆಗಳು, ನೀತಿಗಳು ಮತ್ತು ಮೂರನೇ ವ್ಯಕ್ತಿಗಳ ಹಕ್ಕುಗಳನ್ನು (ಸೇರಿದಂತೆ ಮತ್ತು ಮಿತಿಯಿಲ್ಲದೆ, ಡೇಟಾ ಅಥವಾ ಸಾಫ್ಟ್ವೇರ್, ಗೌಪ್ಯತೆ ಮತ್ತು ಸ್ಥಳೀಯ ಕಾನೂನುಗಳ ಆಮದು ಅಥವಾ ರಫ್ತಿಗೆ ಸಂಬಂಧಿಸಿದ ಯಾವುದೇ ಕಾನೂನುಗಳು) ಅನುಸರಿಸಬೇಕು."
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,ಕಾನೂನುಬಾಹಿರ ಚಟುವಟಿಕೆಗಳನ್ನು ಪ್ರೋತ್ಸಾಹಿಸಲು ಅಥವಾ ಪೋಷನ್ ಟ್ರಾಕರ್ ಜೊತೆ ಇರುವ ನೀತಿಗಳನ್ನು ಒಳಗೊಂಡು ಥರ್ಡ್ ಪಾರ್ಟಿ ಹಕ್ಕುಗಳ ಉಲ್ಲಂಘನೆಯನ್ನು ಉತ್ತೇಜಿಸಲು API/ನೋ-ಕೋಡ್ ವೆಬ್ಪುಟ ಏಕೀಕರಣವನ್ನು ಈ ಸಂಸ್ಥೆಗಳು ಬಳಸುವುದಿಲ್ಲ.
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","ಗರ್ಭಿಣಿಯರು, ಹಾಲುಣಿಸುವ ತಾಯಂದಿರು, 6 ತಿಂಗಳಿಂದ 3 ವರ್ಷದ ಮಕ್ಕಳು ಮತ್ತು ಹದಿಹರೆಯದ ಹುಡುಗಿಯರು."
6. DATA SECURITY,6. ಡೇಟಾದ ಸುರಕ್ಷತೆ
South Salmara Mankachar,ದಕ್ಷಿಣ ಸಲ್ಮರ ಮಂಕಚಾರ್
0 months to 6 years,0 ತಿಂಗಳಿಂದ 6 ವರ್ಷಗಳವರೆಗೆ
CHECK TICKET STATUS,ಟಿಕೆಟ್ ಸ್ಥಿತಿಯನ್ನು ಪರಿಶೀಲಿಸಿ
Icds Kanhangad Addl,ಐಸಿಡಿಎಸ್ ಕನ್ಹಾನ್ಗಡ್ ಹೆಚ್ಚುವರಿ
CDPO Ghatkopar Urban,ಸಿಡಿಪಿಒ ಘಾಟ್ಕೋಪರ್ ನಗರ
Target / Total no.of,ಗುರಿ/ ಒಟ್ಟು ಸಂಖ್ಯೆ
Enter Email Address,ಇಮೇಲ್ ವಿಳಾಸ ನಮೂದಿಸಿ
Dholpur - Rajasthan,ಧೋಲ್ಪುರ್ - ರಾಜಸ್ಥಾನ
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)","ಪಿ ಎಸ್. ಸಿ. ವಿ ನೋಡಲ್ ವ್ಯಕ್ತಿ(೦೨ ಫ಼ೆಬ್ರವರಿ, ೨೦೨೧)"
Udam Singh Nagar,ಉಧಮ್ ಸಿಂಗ್ ನಗರ
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,ಒಬ್ಬ AWW ತನ್ನ ಆಧಾರ್ ಸಂಖ್ಯೆಯ ಆಧಾರದ ಮೇಲೆ ಫಲಾನುಭವಿಯನ್ನು ಒಂದು AWCದಿಂದ ಇನ್ನೊಂದಕ್ಕೆ ವರ್ಗಾಯಿಸಲು 'ವಲಸೆ ಫಲಾನುಭವಿ' ಆಯ್ಕೆಯನ್ನು ಬಳಸಬಹುದು.
Narot Jaimal Singh,ನರೋತ್ ಜೈಮಲ್ ಸಿಂಗ್
Balasore Sadar I,ಬಾಲಸೋರ್ ಸದರ್ I
General Awareness for Pregnancy,ಗರ್ಭಧಾರಣೆಯ ಸಾಮಾನ್ಯ ಅರಿವು
Fatehpur - 84,ಫತೇಪುರ್ - 84
A beneficiary is eligible for HCM for at least 21 days in a month.,ಒಬ್ಬ ಫಲಾನುಭವಿಯು ತಿಂಗಳಲ್ಲಿ ಕನಿಷ್ಠ 21 ದಿನಗಳವರೆಗೆ HCM ಗೆ ಅರ್ಹನಾಗಿರುತ್ತಾನೆ.
Alipurduar - II Addl.,ಅಲಿಪುರದ್ವಾರ - II ಹೆಚ್ಚುವರಿ
ABHA (Health ID) and its Benefits, ಎ. ಬಿ. ಹೆಚ್. ಎ (ಆರೋಗ್ಯ ಗುರುತಿನ ಚೀಟಿ) ಮತ್ತು ಅದರ ಲಾಭಗಳು
Jorebunglow Sukiapokhri Adl,ಜೋರ್ಬಂಗ್ಲೋ ಸುಕಿಯಾಪೋಖ್ರಿ ಹೆಚ್ಚುವರಿ
"We'ar sorry, the page you requested could not be found.","ಕ್ಷಮಿಸಿ, ನೀವು ವಿನಂತಿಸಿದ ಪುಟವನ್ನು ಕಂಡುಹಿಡಿಯಲಾಗಲಿಲ್ಲ."
Rani Ki Sarai,ರಾಣಿ ಕಿ ಸರೈ
Project Ii Saibaba Colony,ಪ್ರಾಜೆಕ್ಟ್ II ಸಾಯಿಬಾಬಾ ಕಾಲೋನಿ
Who is a beneficiary?,ಫಲಾನುಭವಿ ಯಾರು?
Dadra & Nagar Haveli - Daman & Diu,ದಾದ್ರಾ ಮತ್ತು ನಗರ್ ಹವೇಲಿ - ದಮನ್ ಮತ್ತು ದಿಯು
Download Mobile App from Play Store,ಪ್ಲೇ ಸ್ಟೋರ್ ನಿಂದ ಮೊಬೈಲ್ ಅಪ್ಲಿಕೇಶನ್ ಡೌನ್ಲೋಡ್ ಮಾಡಿ
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws.","ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಪ್ಲಾಟ್ಫಾರ್ಮ್ ಅನ್ವಯವಾಗುವ ಕಾನೂನುಗಳ ಅನುಸರಣೆಯಲ್ಲಿ ನಿಮ್ಮ ಗೌಪ್ಯತೆ ಮತ್ತು ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಯನ್ನು ನಷ್ಟ, ದುರುಪಯೋಗ, ಅನಧಿಕೃತ ಪ್ರವೇಶ, ಬಹಿರಂಗಪಡಿಸುವಿಕೆ, ವಿನಾಶ ಮತ್ತು ಮಾಹಿತಿಯ ಬದಲಾವಣೆಯಿಂದ ರಕ್ಷಿಸಲು ಸೂಕ್ತವಾದ ಸುರಕ್ಷತೆಗಳು ಮತ್ತು ರಕ್ಷಣಾತ್ಮಕ ಕ್ರಮಗಳನ್ನು ಹೊಂದಿದೆ."
"Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server.","ಹೆಚ್ಚುವರಿಯಾಗಿ, ನೀವು ಸಿಸ್ಟಮ್ನಲ್ಲಿ ನಿಮ್ಮ ಖಾತೆಯನ್ನು ಬದಲಾಯಿಸಿದಾಗ ಅಥವಾ ಪ್ರವೇಶಿಸಿದಾಗ ಅಥವಾ ಅದಕ್ಕೆ ಸಂಬಂಧಿಸಿದ ಯಾವುದೇ ಮಾಹಿತಿಯನ್ನು ಬದಲಾಯಿಸಿದಾಗ ಅಥವಾ ಪ್ರವೇಶಿಸಿದಾಗ, ನಾವು ಸುರಕ್ಷಿತ ಸರ್ವರ್ನ ಬಳಕೆಯನ್ನು ನೀಡುತ್ತೇವೆ."
"It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.","ನಿಮ್ಮ ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಗೆ ಸೀಮಿತವಾಗಿರದೆ ಇನ್ನಷ್ಟು ಮಾಹಿತಿ ಒಳಗೊಂಡಿರುವ ನಿಮ್ಮ ಡೇಟಾದ ಸಮಗ್ರತೆ ಮತ್ತು ಸುರಕ್ಷತೆಯನ್ನು ಕಾಪಾಡಿಕೊಳ್ಳಲು, ನೀವು ಸಿಸ್ಟಮ್ ಅನ್ನು ಪ್ರವೇಶಿಸುವ ಮತ್ತು/ಅಥವಾ ಬಳಸುವವರೆಗೆ (ನೇರವಾಗಿ ಅಥವಾ ಪರೋಕ್ಷವಾಗಿ), ಎಲ್ಲಾ ಸಮಯದಲ್ಲೂ ನಿಮ್ಮ ಮಟ್ಟದಲ್ಲಿ ಬೇಕಾದ ಭೌತಿಕ, ವ್ಯವಸ್ಥಾಪಕ ಮತ್ತು ತಾಂತ್ರಿಕ ಭದ್ರತಾ ಕ್ರಮಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳುತ್ತೀರಿ ಎಂದು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಲು ನೀವು ಬಾಧ್ಯತೆಯನ್ನು ಹೊಂದಿರುತ್ತೀರಿ ಎಂದು ಮತ್ತಷ್ಟು ಸ್ಪಷ್ಟಪಡಿಸಲಾಗಿದೆ."
General Awareness on the Delivery of the child,ಶಿಶುವಿನ ಜನ್ಮದ ಬಗ್ಗೆ ಸಾಮಾನ್ಯ ಅರಿವು
General Awareness on Anaemia,ರಕ್ತಹೀನತೆಯ ಬಗ್ಗೆ ಸಾಮಾನ್ಯ ಅರಿವು
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.","ನಮ್ಮ ಕಾರ್ಯಕ್ಷಮತೆಯನ್ನು ವಿಶ್ಲೇಷಿಸಲು, ನಮ್ಮ ಕಾನೂನು ಬಾಧ್ಯತೆಗಳನ್ನು ಪೂರೈಸಲು, ನಮ್ಮ ಕಾರ್ಯಪಡೆಯನ್ನು ಅಭಿವೃದ್ಧಿಪಡಿಸಲು ಮತ್ತು ಸಂಶೋಧನೆ ನಡೆಸಲು ಸೇರಿದಂತೆ ನಮ್ಮ ಸೇವೆಗಳನ್ನು ನಡೆಸಲು ನಾವು ಡೇಟಾವನ್ನು ಬಳಸುತ್ತೇವೆ."
We may also use the information to perform certain necessary operation for improvement of the System and for all acts incidental or ancillary to the provision of the System and for developing and providing new technologies and services.,ಸಿಸ್ಟಮ್ ಅನ್ನು ಸುಧಾರಿಸಲು ಮತ್ತು ಸಿಸ್ಟಮಿನ ನಿಬಂಧನೆಗೆ ಸಂಬಂಧಿಸಿದ ಅಥವಾ ಪೂರಕವಾದ ಎಲ್ಲಾ ಕ್ರಿಯೆಗಳಿಗೆ ಅಗತ್ಯವಾದ ಕೆಲವು ಕಾರ್ಯಾಚರಣೆಗಳನ್ನು ನಿರ್ವಹಿಸಲು ಮತ್ತು ಹೊಸ ತಂತ್ರಜ್ಞಾನಗಳು ಮತ್ತು ಸೇವೆಗಳನ್ನು ಅಭಿವೃದ್ಧಿಪಡಿಸಲು ಮತ್ತು ಒದಗಿಸಲು ನಾವು ಮಾಹಿತಿಯನ್ನು ಬಳಸಬಹುದು.
South Salmara Mancachar,ದಕ್ಷಿಣ ಸಲ್ಮರಾ ಮಂಚಾಚಾರ್
Where can I enquire about Hot Cooked Meal?,ಬಿಸಿ ಬೇಯಿಸಿದ ಆಹಾರದ ಬಗ್ಗೆ ನಾನು ಎಲ್ಲಿ ಕೇಳಬಹುದು?
"The Site may contain links to other websites that may not be owned, maintained, or operated by us.","ಸೈಟ್ ನಮ್ಮ ಮಾಲೀಕತ್ವವನ್ನು ಹೊಂದಿರದ, ನಿರ್ವಹಿಸದಿರುವ ಇತರ ವೆಬ್ಸೈಟ್ಗಳಿಗೆ ಲಿಂಕ್ಗಳನ್ನು ಹೊಂದಿರಬಹುದು."
"The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites.","ಈ ವೆಬ್ಸೈಟ್ಗಳನ್ನು ಲಿಂಕ್ ಮಾಡಲಾಗಿದೆ ಎಂಬ ಅಂಶವು ಈ ವೆಬ್ಸೈಟ್ಗಳ ಯಾವುದೇ ಅನುಮೋದನೆಯನ್ನು ಸೂಚಿಸುವುದಿಲ್ಲ, ಏಕೆಂದರೆ ಈ ವೆಬ್ಸೈಟ್ಗಳ ಮೇಲೆ ನಮಗೆ ಯಾವುದೇ ನಿಯಂತ್ರಣವಿಲ್ಲ."
We are not responsible for these websites including any content or the privacy practices of these websites.,ಈ ವೆಬ್ಸೈಟ್ಗಳ ವಿಷಯ ಅಥವಾ ಗೌಪ್ಯತೆ ಅಭ್ಯಾಸಗಳು ಸೇರಿದಂತೆ ಈ ಯಾವುದೇ ವೆಬ್ಸೈಟ್ಗಳಿಗೆ ನಾವು ಜವಾಬ್ದಾರರಾಗಿರುವುದಿಲ್ಲ.
We strongly encourage you to familiarize yourself with the terms of use of these websites.,ಈ ವೆಬ್ಸೈಟ್ಗಳ ಬಳಕೆಯ ನಿಯಮಗಳೊಂದಿಗೆ ನೀವೇ ಪರಿಚಿತರಾಗಲು ನಾವು ನಿಮ್ಮನ್ನು ಬಲವಾಗಿ ಪ್ರೋತ್ಸಾಹಿಸುತ್ತೇವೆ.
Your use of these websites is at your own risk and peril.,ನೀವು ನಿಮ್ಮ ಸ್ವಂತ ಅಪಾಯದ ಮೇಲೆ ಈ ವೆಬ್ಸೈಟ್ ಗಳ ಬಳಕೆಯನ್ನು ಮಾಡುತ್ತೀರಿ.
"It is solely up to you to take necessary precautions to ensure that the links you select or any software you may download is free of viruses, worms, Trojan horses, defects, date bombs, time bombs, and other or other computer programming routines which are of destructive nature","ನೀವು ಆಯ್ಕೆಮಾಡುವ ಲಿಂಕ್ಗಳು ಅಥವಾ ನೀವು ಡೌನ್ಲೋಡ್ ಮಾಡುವ ಯಾವುದೇ ಸಾಫ್ಟ್ವೇರ್ ವೈರಸ್ಗಳು, ವರ್ಮ್ಗಳು, ಟ್ರೋಜನ್ ಹಾರ್ಸ್ಗಳು, ದೋಷಗಳು, ದಿನಾಂಕ ಬಾಂಬ್ಗಳು, ಟೈಮ್ ಬಾಂಬ್ಗಳು ಮತ್ತು ಇತರ ಅಥವಾ ಇತರ ಕಂಪ್ಯೂಟರ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ರೂಟೀನ್ ಹೊಂದಿರಬಹುದು ಎಂಬುದನ್ನು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಲು ಅಗತ್ಯವಾದ ಮುನ್ನೆಚ್ಚರಿಕೆಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳುವುದು ಸಂಪೂರ್ಣವಾಗಿ ನಿಮಗೆ ಬಿಟ್ಟದ್ದು"
