eng,as
"We'ar sorry, the page you requested could not be found.","ওই অরে সরি, টি পেজ ইউ রেকুযেস্টেড কোল্ড নোট যে ফাউন্ড."
Rani Ki Sarai,ৰাণী কি চৰাই
Project Ii Saibaba Colony,প্ৰকল্প II সাইবাবা কলনি
Who is a beneficiary?,এগৰাকী হিতাধিকাৰী কোন হয?
Dadra & Nagar Haveli - Daman & Diu,দাদৰা আৰু নগৰ হাৱেলি - দমন আৰু দিউ
Download Mobile App from Play Store,প্লে ষ্টোৰৰ পৰা মোবাইল এপ ডাউনলোড কৰক
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws.","পোষণ ট্ৰেকাৰ প্লেটফৰ্মৰ প্ৰযোজ্য আইনৰ সৈতে আনুগত্যতাত আপোনাৰ গোপনীযতা আৰু ব্যক্তিগত তথ্যক ক্ষতি, অপব্যৱহাৰ, অকৰ্তৃত্বশীল প্ৰৱেশাধিকাৰ, উন্মোচন, বিনাশ আৰু তথ্যৰ সাল-সলনিত যুক্তিযুক্ত সুৰক্ষা ব্যৱস্থা বা চেফগাৰ্ড থাকে।"
"Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server.","ইযাৰ উপৰিও, যেতিযা আপুনি চিষ্টেমটোত আপোনাৰ একাউন্ট বা ইযাৰে সম্পৰ্কিত কোনো তথ্য সলনি বা প্ৰৱেশাধিকাৰ লাভ কৰে, আমি এটা সুৰক্ষিত চাৰ্ভাৰৰ ব্যৱহাৰ আগবঢাও।"
"It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.","আৰু স্পষ্ট কৰা হয যে আপুনি, যেতিযালৈ চিষ্টেমটোৰ (প্ৰত্যক্ষভাৱে বা পৰোক্ষভাৱে) প্ৰৱেশাধিকাৰ লাভ কৰে আৰু/বা ব্যৱহাৰ কৰে, দাযবদ্ধতাটোৱে সুনিশ্চিত কৰে যে আপুনি, সকলো সমযতে, পৰ্যাপ্ত বস্তুগত, ব্যৱস্থাপনাগত, আৰু প্ৰযুক্তিগত চেফগাৰ্ড, আপোনাৰ ফালৰ পৰা, আপোনাৰ ডাটাৰ অখণ্ডতা আৰু নিৰাপত্তা আৰক্ষণ কৰিবলৈ গ্ৰহণ কৰে য'ত আপোনাৰ ব্যক্তিগত তথ্য অন্তৰ্ভুক্ত থাকিব আৰু তাত সীমাৱদ্ধ নহ'ব।"
General Awareness on the Delivery of the child,শিশুক জন্ম দিযাৰ ওপৰত সাধাৰণ সজাগতা
General Awareness on Anaemia,এনিমিযাৰ ওপৰত সাধাৰণ সজাগতা
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.","আমি আমাৰ সেৱা সমূহ অপাৰেট কৰিবলৈ ডাটা সমূহো ব্যৱহাৰ কৰো, য'ত আমাৰ প্ৰদৰ্শন বিশ্লেষণ কৰা, আমাৰ আইনগত বাধ্যবাধকতা সমূহ পূৰণ কৰা, আমাৰ কৰ্মশক্তি বিকশিত কৰা, আৰু গৱেষণা কৰা অন্তৰ্ভুক্ত থাকে।"
We may also use the information to perform certain necessary operation for improvement of the System and for all acts incidental or ancillary to the provision of the System and for developing and providing new technologies and services.,আমি হযতো চিষ্টেমটোৰ বিকাশৰ বাবে আৰু চিষ্টেমটোৰ সা-সুবিধাৰ প্ৰতি আনুষংগিক আৰু নতুন প্ৰযুক্তি আৰু সেৱা সমূহ বিকশিত আৰু যোগান ধৰাৰ বাবে কিছুমান নিৰ্দিষ্ট প্ৰযোজনীয কাৰ্য-কলাপ সম্পন্ন কৰিবলৈ তথ্য ব্যৱহাৰ কৰো।
South Salmara Mancachar,দক্ষিণ শলমাৰা মানকাছাৰ
Where can I enquire about Hot Cooked Meal?,হ'ট কুকড মীলৰ বিষযে মই ক'ত খবৰ কৰিব পাৰো?
"The Site may contain links to other websites that may not be owned, maintained, or operated by us.","চাইটটোত হযতো আন ৱেবচাইটৰ লিংক সন্নিৱিষ্ট থাকিব পাৰে যাক হযতো আমাৰ দ্বাৰাা ক্ৰয কৰা, চোৱা চিতা কৰা বা পৰিচালনা কৰা নহ'ব পাৰে।"
"The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites.","তথ্য যে এই ৱেবচাইটসমূূহ লিং হৈ আছে, ই আমাৰ পৰা এই ৱেবচাইট সমূহৰ কোনো অনুমোদনক নুসূচায, যিহেতু আমাৰ এই ৱেবচাইট সমূহৰ ওপৰত কোনো নিযন্ত্ৰণ নাথাকে।"
We are not responsible for these websites including any content or the privacy practices of these websites.,আমি এই ৱেবচাইট সমূহৰ কোনো কন্টেন্ট বা গোপনীযতাৰ অনুশীলনকে ধৰি এই ৱেবচাইট সমূহৰ বাবে দাযবদ্ধ নহয।
We strongly encourage you to familiarize yourself with the terms of use of these websites.,আমি এই ৱেবচাইট সমূহৰ ব্যৱহাৰৰ চৰ্তাৱলীৰ সৈতে আপোনাক নিজকে সুপৰিচিত কৰি তুলিবলৈ উৎসাহিত কৰো।
Your use of these websites is at your own risk and peril.,এই ৱেবচাইট সমূহ আপুনি আপোনাৰ নিজৰ ৰিস্ক আৰু বিপদত পৰা শংকাৰ ওপৰত ব্যৱহাৰ কৰিব।
"It is solely up to you to take necessary precautions to ensure that the links you select or any software you may download is free of viruses, worms, Trojan horses, defects, date bombs, time bombs, and other or other computer programming routines which are of destructive nature","এযা সুনিশ্চিত কৰিবলৈ প্ৰযোজনীয সাৱধানতা গ্ৰহণ কৰাটো সম্পূৰ্ণৰূপে আপোনাৰ ওপৰত যে আপুনি বাচি লোৱা লিংক বা কোনো চফ্টৱেৰ যাক আপুনি ডাউনলোড কৰে সি ভাইৰাছ, ৱৰ্ম, ট্ৰ'জান হৰ্ছ, ত্ৰুটি, ডেট বম্ব, টাইম বম্ব আৰু আন বা অন্যান্য কম্পিউটাৰ প্ৰগ্ৰামিং ৰুটিনৰ পৰা মুক্ত যি ধ্বংসাত্মক প্ৰকৃতিৰ।"
TITAGARH (U) ICDS PROJECT,তিতাগড (ইউ) আইচিডিএছ প্ৰকল্প
Singtam Rural Project,সিংটাম গ্ৰাম্য প্ৰকল্প
In how many languages AWW can enter the data while filling up the form?,প্ৰপত্ৰখন পূৰণ কৰোঁতে AWW বা AWCযে কিমানটা ভাষাত ডাটা প্ৰবিষ্ট কৰিব পাৰে?
Purnia East Urban,পূৰ্ণিযা ইষ্ট আৰ্বান
Children who are identified as deficit on nutrition are eligible for additional food supplements.,শিশু সকল যি পুষ্টিৰ অভাৱত ভোগা বুলি চিনাক্ত হৈছে তেওঁলোক অতিৰিক্ত খাদ্যৰ পৰিপূৰকৰ বাবে যোগ্য।
An underweight person is a person whose body weight is considered too low to be healthy,এগৰাকী কম ওজনৰ লোক হৈছে এগৰাকী লোক যাৰ দেহৰ ওজন স্বাস্থ্যৱান হ'ব পৰাতকৈ বহু কম হিচাপে বিবেচনা কৰা হয
Balasore Sadar II,বালাচোৰ সদৰ II
Project 1 Selvapuram,প্ৰকল্প 1 চেলভাপুৰম
